"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","ACCT115","FUND OF FINANCIAL ACCOUNTING","001","90001","TR","8:30 AM - 9:50 AM","KUPF 206","Open","15","5","Micale, Joseph","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90001",""
"202490","ACCT115","FUND OF FINANCIAL ACCOUNTING","003","90002","TR","10:00 AM - 11:20 AM","KUPF 206","Open","15","9","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90002",""
"202490","ACCT115","FUND OF FINANCIAL ACCOUNTING","005","90003","MR","2:30 PM - 3:50 PM","CULM LECT 1","Open","15","12","Seda, Wilson","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90003",""
"202490","ACCT115","FUND OF FINANCIAL ACCOUNTING","007","90004","MW","1:00 PM - 2:20 PM","KUPF 108","Open","15","10","Seda, Wilson","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90004",""
"202490","ACCT115","FUND OF FINANCIAL ACCOUNTING","101","90005","W","6:00 PM - 8:50 PM","KUPF 208","Open","15","4","Nwachuku, Adaeze","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90005",""
"202490","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","001","90006","MR","1:00 PM - 2:20 PM","KUPF 107","Open","41","16","Derbaly, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90006",""
"202490","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","003","90007","MR","11:30 AM - 12:50 PM","KUPF 202","Open","41","16","Derbaly, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90007",""
"202490","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","101","90008","T","6:00 PM - 8:50 PM","FMH 308","Open","41","25","Saint Fort, Patrick","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90008",""
"202490","ACCT215","MANAGERIAL ACCOUNTING I","001","90009","TR","8:30 AM - 9:50 AM","KUPF 207","Open","42","15","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90009",""
"202490","ACCT215","MANAGERIAL ACCOUNTING I","003","90010","MR","2:30 PM - 3:50 PM","KUPF 207","Open","42","41","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90010",""
"202490","ACCT325","INTERMEDIATE ACCOUNTING I","001","90011","TR","11:30 AM - 12:50 PM","CAB 2020","Open","43","13","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90011",""
"202490","ACCT403","FINANCIAL STATEMENT ANALYSIS","001","90012","MR","10:00 AM - 11:20 AM","GITC 1100","Open","8","1","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90012",""
"202490","ACCT425","TAX ACCOUNTING I","101","90014","R","6:00 PM - 8:50 PM","KUPF 203","Open","43","10","Tang, Qian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90014",""
"202490","ACCT615","MANAGEMENT ACCOUNTING","001","90015","M","2:30 PM - 5:20 PM","CAB 3052","Open","43","7","Taylor, Ming","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90015","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks start September 9"
"202490","ACCT615","MANAGEMENT ACCOUNTING","003","90016","R","2:30 PM - 5:20 PM","KUPF 105","Open","43","22","Taylor, Ming","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90016","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings alternate weeks starting September 5"
"202490","ACCT615","MANAGEMENT ACCOUNTING","101","90017","T","6:00 PM - 8:50 PM","KUPF 206","Open","43","3","Derbaly, George","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90017","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings alternate weeks starting September 10"
