"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","AD150","COLOR AND COMPOSITION","001","90021","M","1:00 PM - 3:05 PM","WEST LECT 2","Open","12","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90021",""
"202490","AD150","COLOR AND COMPOSITION","001","90021","M","3:15 PM - 5:20 PM","CAMP 236D","Open","12","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90021",""
"202490","AD150","COLOR AND COMPOSITION","003","90022","M","1:00 PM - 3:05 PM","WEST LECT 2","Open","12","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90022",""
"202490","AD150","COLOR AND COMPOSITION","003","90022","M","3:15 PM - 5:20 PM","CAMP 236D","Open","12","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90022",""
"202490","AD150","COLOR AND COMPOSITION","005","90023","W","10:45 AM - 12:50 PM","CAMP 236G","Open","12","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90023",""
"202490","AD150","COLOR AND COMPOSITION","005","90023","W","8:30 AM - 10:35 AM","WEST LECT 2","Open","12","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90023",""
"202490","AD150","COLOR AND COMPOSITION","007","90024","W","10:45 AM - 12:50 PM","CAMP 236G","Open","12","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90024",""
"202490","AD150","COLOR AND COMPOSITION","007","90024","W","8:30 AM - 10:35 AM","WEST LECT 2","Open","12","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90024",""
"202490","AD150","COLOR AND COMPOSITION","009","90025","W","10:45 AM - 12:50 PM","CAMP 236G","Open","12","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90025",""
"202490","AD150","COLOR AND COMPOSITION","009","90025","W","8:30 AM - 10:35 AM","WEST LECT 2","Open","12","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90025",""
"202490","AD150","COLOR AND COMPOSITION","011","90026","R","10:45 AM - 12:50 PM","CAMP 236C","Open","12","3","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90026",""
"202490","AD150","COLOR AND COMPOSITION","011","90026","R","8:30 AM - 10:35 AM","WEST LECT 2","Open","12","3","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90026",""
"202490","AD150","COLOR AND COMPOSITION","013","90027","R","10:45 AM - 12:50 PM","CAMP 236D","Open","12","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90027",""
"202490","AD150","COLOR AND COMPOSITION","013","90027","R","8:30 AM - 10:35 AM","WEST LECT 2","Open","12","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90027",""
"202490","AD150","COLOR AND COMPOSITION","015","90028","R","10:45 AM - 12:50 PM","CAMP 236G","Open","12","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90028",""
"202490","AD150","COLOR AND COMPOSITION","015","90028","R","8:30 AM - 10:35 AM","WEST LECT 2","Open","12","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90028",""
"202490","AD161","HISTORY OF ART AND DESIGN I","001","90029","TF","1:00 PM - 2:20 PM","GITC 1100","Open","32","10","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90029",""
