"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","ARCH110","TOOLS AND TECHNIQUES I","001","90043","R","8:30 AM - 9:50 AM","CKB 114","Open","30","18","Esperdy, Gabrielle","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90043",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","001","90043","T","8:30 AM - 9:50 AM","WEST LECT 1","Open","30","18","Esperdy, Gabrielle","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90043",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","003","90044","R","8:30 AM - 9:50 AM","CKB 207","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90044",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","003","90044","T","8:30 AM - 9:50 AM","WEST LECT 2","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90044",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","005","90045","R","10:00 AM - 11:20 AM","CKB 207","Closed","0","0","Ogorzalek, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90045",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","005","90045","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","0","0","Ogorzalek, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90045",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","007","90046","R","8:30 AM - 9:50 AM","FMH 106","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90046",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","007","90046","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90046",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","009","90047","R","10:00 AM - 11:20 AM","CKB 212","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90047",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","009","90047","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90047",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","011","90048","R","8:30 AM - 9:50 AM","CKB 212","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90048",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","011","90048","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90048",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","013","90049","R","10:00 AM - 11:20 AM","CKB 214","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90049",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","013","90049","T","8:30 AM - 9:50 AM","WEST LECT 1","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90049",""
"202490","ARCH110","TOOLS AND TECHNIQUES I","015","90050","R","8:30 AM - 9:50 AM","CKB 313","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90050",""
