"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","BDS725","INDEPENDENT RESEARCH I","613","90253","","TBA"," ","Open","19","0","Chen, Yi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90253","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","870","90254","","TBA"," ","Open","19","0","Mehta, Rajiv","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90254","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","874","90255","","TBA"," ","Open","19","0","Taylor, Ming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90255","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","879","90256","","TBA"," ","Open","19","0","Sylla, Cheickna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90256","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","881","90257","","TBA"," ","Open","19","0","Shi, Junmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90257","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","882","90258","","TBA"," ","Open","19","0","Roy, Raja","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90258","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","885","90259","","TBA"," ","Open","19","0","Bandera, Cesar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90259","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","886","90260","","TBA"," ","Open","19","0","Thomas, Ellen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90260","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","889","90261","","TBA"," ","Open","19","0","Anandarajan, Asokan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90261","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","891","90262","","TBA"," ","Open","19","0","Gopalakrishnan, Shanthi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90262","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","893","90263","","TBA"," ","Open","19","0","Zhang, Haisu","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90263","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","894","90264","","TBA"," ","Open","19","0","Fresneda Fernandez, Jorge Eduardo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90264","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","895","90265","","TBA"," ","Open","19","0","Egbelu, Pius","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90265","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","896","90266","","TBA"," ","Open","19","0","Fjermestad, Jerry","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90266","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","897","90267","","TBA"," ","Open","19","0","Yu, Dantong","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90267","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","898","90268","","TBA"," ","Open","19","0","Tao, Xinyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90268","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","899","90269","","TBA"," ","Open","19","0","Chang, Ai Chih","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90269","See department for permission to enroll."
"202490","BDS725","INDEPENDENT RESEARCH I","931","90270","","TBA"," ","Open","19","0","Ehrlich, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90270","See department for permission to enroll."
