"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","BIOL200","CONCEPTS IN BIOLOGY","001","90293","MR","2:30 PM - 3:50 PM","CKB 303","Closed","5","5","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90293",""
"202490","BIOL200","CONCEPTS IN BIOLOGY","001","90293","R","4:00 PM - 5:20 PM","CKB 315","Closed","5","5","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90293",""
"202490","BIOL200","CONCEPTS IN BIOLOGY","003","90294","F","10:00 AM - 11:20 AM","CKB 220","Closed","5","5","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90294",""
"202490","BIOL200","CONCEPTS IN BIOLOGY","003","90294","MR","2:30 PM - 3:50 PM","CKB 303","Closed","5","5","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90294",""
"202490","BIOL200","CONCEPTS IN BIOLOGY","005","90295","F","4:00 PM - 5:20 PM","CKB 126","Closed","5","5","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90295",""
"202490","BIOL200","CONCEPTS IN BIOLOGY","005","90295","MR","2:30 PM - 3:50 PM","CKB 303","Closed","5","5","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90295",""
"202490","BIOL200","CONCEPTS IN BIOLOGY","007","90296","F","1:00 PM - 2:20 PM","CKB 214","Closed","5","5","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90296",""
"202490","BIOL200","CONCEPTS IN BIOLOGY","007","90296","MR","2:30 PM - 3:50 PM","CKB 303","Closed","5","5","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90296",""
"202490","BIOL200","CONCEPTS IN BIOLOGY","009","90297","F","2:30 PM - 3:50 PM","CKB 220","Closed","5","5","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90297",""
"202490","BIOL200","CONCEPTS IN BIOLOGY","009","90297","MR","2:30 PM - 3:50 PM","CKB 303","Closed","5","5","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90297",""
