"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","BME111","INTRODUCTION TO PHYSIOLOGY","001","90560","MW","8:30 AM - 9:50 AM","CULM LECT 3","Open","60","35","Mont, Ashley","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90560",""
"202490","BME210","PROCESSING FUND FOR BIOL SIGNA","001","90561","W","10:00 AM - 12:50 PM","FENS 636","Open","23","22","Alvarez, Tara","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90561",""
"202490","BME210","PROCESSING FUND FOR BIOL SIGNA","003","90562","R","2:30 PM - 5:20 PM","FENS 640","Open","23","20","Li, Xiaobo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90562",""
"202490","BME301","INTRO BIOMEDICAL ENGINEERING I","001","90563","F","2:30 PM - 4:35 PM","ME 221","Closed","23","23","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90563",""
"202490","BME301","INTRO BIOMEDICAL ENGINEERING I","001","90563","T","2:30 PM - 4:35 PM","FENS 640","Closed","23","23","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90563",""
"202490","BME301","INTRO BIOMEDICAL ENGINEERING I","003","90564","F","2:30 PM - 4:35 PM","ME 221","Open","23","7","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90564",""
"202490","BME301","INTRO BIOMEDICAL ENGINEERING I","003","90564","T","2:30 PM - 4:35 PM","FENS 636","Open","23","7","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90564",""
"202490","BME301","INTRO BIOMEDICAL ENGINEERING I - HONORS","HM1","90565","F","2:30 PM - 4:35 PM","ME 221","Open","15","6","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90565","Honors Course"
"202490","BME301","INTRO BIOMEDICAL ENGINEERING I - HONORS","HM1","90565","T","2:30 PM - 4:35 PM","FENS 640","Open","15","6","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90565","Honors Course"
"202490","BME302","INTRO BIOMED ENGR II","001","90566","M","10:00 AM - 12:05 PM","FENS 636","Open","20","18","Pal, Saikat","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=90566","Lab portion meets alternate weeks starting: 9/9/2024"
