"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","CET313","CONSTRUCTION PROCEDURES I","001","91123","M","1:00 PM - 3:05 PM","GITC 2315C","Open","30","27","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91123",""
"202490","CET313","CONSTRUCTION PROCEDURES I","001","91123","R","1:00 PM - 3:05 PM","FMH 411","Open","30","27","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91123",""
"202490","CET313","CONSTRUCTION PROCEDURES I","101","91124","T","6:00 PM - 7:55 PM","MALL PC39","Open","30","14","Toscarelli, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91124",""
"202490","CET313","CONSTRUCTION PROCEDURES I","101","91124","T","8:05 PM - 10:05 PM","MALL PC39","Open","30","14","Toscarelli, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91124",""
"202490","CET317","CONSTRUCTION COMPUTING","001","96092","TR","10:00 AM - 12:05 PM","GITC 2315C","Open","30","16","Feng, Yanxiao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96092",""
"202490","CET317","CONSTRUCTION COMPUTING","101","96093","F","6:00 PM - 10:05 PM","FENS 160","Open","30","7","Feng, Yanxiao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96093",""
"202490","CET322","CONSTRUCTN REGS & STANDA","001","91127","TF","8:30 AM - 9:50 AM","CKB 215","Open","25","7","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91127",""
"202490","CET322","CONSTRUCTN REGS & STANDA","101","91128","T","6:00 PM - 8:50 PM","CKB 314","Closed","25","25","McCall, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91128",""
"202490","CET331","STRUCTURAL SYSTEMS","101","96094","R","6:00 PM - 10:05 PM","FMH 108","Open","25","3","Porcello, Zachary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96094",""
"202490","CET411","COST ESTIMATING","001","91130","MW","11:30 AM - 12:50 PM","FMH 411","Open","30","8","Washington, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91130",""
