"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","CHEM121","FUND OF CHEMICAL PRINCIPLES I","001","91425","TF","4:00 PM - 5:20 PM","FMH 308","Open","18","11","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91425","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM121","FUND OF CHEMICAL PRINCIPLES I","003","91426","WF","10:00 AM - 11:20 AM","FMH 308","Closed","18","18","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91426","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM121","FUND OF CHEMICAL PRINCIPLES I","101","91427","T","6:00 PM - 8:50 PM","FMH 213","Open","27","7","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91427","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","001","91428","F","2:30 PM - 3:50 PM","FMH 213","Open","16","4","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91428","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","001","91428","M","1:00 PM - 2:20 PM","TIER LECT 2","Open","16","4","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91428","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","003","91429","M","1:00 PM - 2:20 PM","TIER LECT 2","Open","16","7","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91429","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","003","91429","R","1:00 PM - 2:20 PM","FMH 213","Open","16","7","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91429","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","005","91430","M","1:00 PM - 2:20 PM","TIER LECT 2","Open","16","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91430","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","005","91430","W","1:00 PM - 2:20 PM","FMH 213","Open","16","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91430","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","007","91431","R","1:00 PM - 2:20 PM","FMH 308","Open","16","10","DeSantis, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91431","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","007","91431","T","4:00 PM - 5:20 PM","TIER LECT 2","Open","16","10","DeSantis, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91431","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","009","91432","F","10:00 AM - 11:20 AM","FMH 213","Open","16","3","DeSantis, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91432","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","009","91432","T","4:00 PM - 5:20 PM","TIER LECT 2","Open","16","3","DeSantis, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91432","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","011","91433","F","8:30 AM - 9:50 AM","FMH 213","Open","16","4","DeSantis, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91433","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","011","91433","T","4:00 PM - 5:20 PM","TIER LECT 2","Open","16","4","DeSantis, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91433","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","013","91434","M","11:30 AM - 12:50 PM","FMH 308","Open","16","3","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91434","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","013","91434","T","4:00 PM - 5:20 PM","TIER LECT 1","Open","16","3","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91434","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","015","91435","M","11:30 AM - 12:50 PM","FMH 213","Open","16","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91435","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","015","91435","T","4:00 PM - 5:20 PM","TIER LECT 1","Open","16","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91435","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","017","91436","M","1:00 PM - 2:20 PM","FMH 213","Open","16","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91436","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","017","91436","T","4:00 PM - 5:20 PM","TIER LECT 1","Open","16","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91436","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","019","91437","F","10:00 AM - 11:20 AM","TIER LECT 2","Open","16","2","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91437","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","CHEM125","GENERAL CHEMISTRY I","019","91437","R","1:00 PM - 2:20 PM","KUPF 207","Open","16","2","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91437","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
