"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","CHE101","INTRO TO CHEMICAL ENGINEERING","001","91139","R","4:00 PM - 5:00 PM","TIER 105","Open","35","11","Axe, Lisa","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91139",""
"202490","CHE201","MATERIAL AND ENERGY BALANCES","001","91140","M","8:30 AM - 11:20 AM","TIER 411B","Open","60","31","Cimino, Richard","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91140",""
"202490","CHE201","MATERIAL AND ENERGY BALANCES","001","91140","W","8:30 AM - 10:35 AM","TIER 411B","Open","60","31","Cimino, Richard","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91140",""
"202490","CHE230","CHEM ENGINEER THERMODYNAMICS I","001","91141","TR","1:00 PM - 3:05 PM","TIER 411B","Open","40","30","Xu, Xiaoyang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91141","For CME Students Only"
"202490","CHE260","FLUID FLOW","001","91142","TR","1:00 PM - 3:05 PM","FMH 403","Open","30","15","Venerus, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91142",""
"202490","CHE312","CHEMICAL PROCESS SAFETY","001","91143","MW","1:00 PM - 2:20 PM","FMH 307","Open","30","6","Cimino, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91143",""
"202490","CHE312","CHEMICAL PROCESS SAFETY - HONORS","HM1","91144","MW","1:00 PM - 2:20 PM","FMH 307","Open","5","2","Cimino, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91144","Honors Course"
"202490","CHE342","CHEM ENG THERMODYNAM II","001","91145","MW","1:00 PM - 2:20 PM","FMH 106","Open","30","25","Reid, Nellone","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91145",""
"202490","CHE342","CHEM ENG THERMODYNAM II - HONORS","HM1","91146","MW","1:00 PM - 2:20 PM","FMH 106","Open","5","3","Reid, Nellone","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91146","Honors Course"
"202490","CHE349","KINETICS & REACTOR DESGN","001","91147","R","11:30 AM - 12:50 PM","KUPF 103","Open","30","9","Baltzis, Basil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91147",""
"202490","CHE349","KINETICS & REACTOR DESGN","001","91147","T","10:00 AM - 11:20 AM","KUPF 103","Open","30","9","Baltzis, Basil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91147",""
"202490","CHE360","SEPARATION PROCESSES I","001","91148","R","2:30 PM - 3:50 PM","CKB 214","Open","29","9","Cimino, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91148",""
"202490","CHE360","SEPARATION PROCESSES I","001","91148","T","2:30 PM - 3:50 PM","TIER 113","Open","29","9","Cimino, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91148",""
"202490","CHE365","CHEMICAL ENGR COMPUTING","101","91149","W","6:00 PM - 10:05 PM","CKB G-08","Open","40","11","Voronov, Roman","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91149",""
"202490","CHE370","HEAT AND MASS TRANSFER","001","91150","R","11:30 AM - 1:35 PM","TIER LECT 2","Open","40","33","Sebastian, Donald","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91150",""
"202490","CHE370","HEAT AND MASS TRANSFER","001","91150","T","10:00 AM - 12:05 PM","CKB 124","Open","40","33","Sebastian, Donald","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91150",""
"202490","CHE472","PROCESS & PLANT DESIGN","001","91151","TR","4:00 PM - 5:55 PM","TIER 411B","Open","30","17","Reid, Nellone","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91151",""
"202490","CHE472","PROCESS & PLANT DESIGN - HONORS","HM1","91152","TR","4:00 PM - 5:55 PM","TIER 411B","Open","5","1","Reid, Nellone","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91152","Honors Course"
