"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","CIM101","INTRO TO THE CONCRETE INDUSTRY","101","96096","M","6:00 PM - 7:55 PM","FMH 310","Open","25","4","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96096",""
"202490","CIM101","INTRO TO THE CONCRETE INDUSTRY","101","96096","M","8:05 PM - 10:05 PM","GITC 2315C","Open","25","4","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96096",""
"202490","CIM205","CONCRETE PROPERTIES & TESTING","101","96097","F","6:00 PM - 7:55 PM","CKB 222","Open","24","17","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96097",""
"202490","CIM205","CONCRETE PROPERTIES & TESTING","101","96097","F","8:05 PM - 10:05 PM","COLT 121","Open","24","17","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96097",""
"202490","CIM210","CONCRETE APPLICATIONS I","001","96165","MW","8:30 AM - 10:35 AM","MALL PC39","Open","25","10","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96165",""
"202490","CIM215","CONCRETE APPLICATIONS II","101","96168","W","6:00 PM - 7:55 PM","FMH 411","Open","20","9","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96168",""
"202490","CIM215","CONCRETE APPLICATIONS II","101","96168","W","8:05 PM - 10:05 PM","FENS 156","Open","20","9","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96168",""
"202490","CIM310","CONCRETE PRODUCTS AND DELIVERY","101","96193","T","6:00 PM - 7:55 PM","CKB 310","Open","30","6","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96193",""
"202490","CIM310","CONCRETE PRODUCTS AND DELIVERY","101","96193","T","8:05 PM - 10:05 PM","CKB G-12","Open","30","6","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96193",""
"202490","CIM315","CONCRETE CONSTRUCTION METHODS","101","96194","F","6:00 PM - 7:55 PM","CKB 114","Open","25","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96194",""
"202490","CIM315","CONCRETE CONSTRUCTION METHODS","101","96194","F","8:05 PM - 10:05 PM","GITC 2315C","Open","25","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96194",""
"202490","CIM405","ADV CONCRETE TESTING QUAL ASSR","101","96195","F","6:00 PM - 7:55 PM","COLT 121","Open","24","2","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96195",""
"202490","CIM405","ADV CONCRETE TESTING QUAL ASSR","101","96195","F","8:05 PM - 10:05 PM","CKB 114","Open","24","2","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96195",""
"202490","CIM410","SENIOR PROJECT IN CIM","101","96215","R","6:00 PM - 10:05 PM","CKB 320","Closed","0","0","Mahgoub, Mohamed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96215","See department for permission to enroll"
"202490","CIM491","SPECIAL PROJECT IN CIM","344","96296","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96296","See department for permission to enroll."
"202490","CIM492","SPECIAL PROJECT IN CIM","344","96297","","TBA"," ","Open","19","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96297","See department for permission to enroll."
"202490","CIM493","INDEPENDENT STUDY","344","96298","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96298","See department for permission to enroll."
"202490","CIM497","COOP WORK EXPERIENCE I","344","96299","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96299","See department for permission to enroll."
