"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","COM201","INTRO TO COM MEDIA","001","91768","MW","8:30 AM - 9:50 AM","CKB 310","Closed","10","10","Snyder, Eugene","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91768",""
"202490","COM303","VIDEO NARATIVE","001","91769","TR","1:00 PM - 2:20 PM","MALL PC37","Closed","21","21","Klobucar, Philip","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91769",""
"202490","COM310","INTERPERSONAL COMMUNICATION","001","91770","MR","11:30 AM - 12:50 PM","FMH 309","Closed","22","22","Sun, Yao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91770",""
"202490","COM312","ORAL PRESENTATION","001","91771","TR","11:30 AM - 12:50 PM","FMH 305","Closed","21","21","Kramer, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91771",""
"202490","COM312","ORAL PRESENTATION","003","91772","TR","2:30 PM - 3:50 PM","FMH 405","Closed","21","21","Kramer, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91772",""
"202490","COM312","ORAL PRESENTATION","005","91773","MW","1:00 PM - 2:20 PM","FMH 405","Closed","21","21","Esche, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91773",""
"202490","COM312","ORAL PRESENTATION","007","91774","TR","1:00 PM - 2:20 PM","FMH 305","Closed","21","21","Kornfeld, Louis","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91774",""
"202490","COM312","ORAL PRESENTATION","009","91775","WF","8:30 AM - 9:50 AM","FMH 305","Closed","21","21","Teicher, Julie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91775",""
"202490","COM312","ORAL PRESENTATION","011","91776","MW","11:30 AM - 12:50 PM","FMH 405","Closed","21","21","Esche, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91776",""
"202490","COM312","ORAL PRESENTATION","013","91777","MR","4:00 PM - 5:20 PM","FMH 314","Open","21","20","Esche, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=91777",""
