"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","DD263","DIGITAL DESIGN STUDIO I","001","92337","MR","1:00 PM - 5:20 PM"," ","Closed","12","12","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92337",""
"202490","DD263","DIGITAL DESIGN STUDIO I","003","92338","MR","1:00 PM - 5:20 PM"," ","Open","12","9","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92338",""
"202490","DD263","DIGITAL DESIGN STUDIO I","005","92339","MR","1:00 PM - 5:20 PM"," ","Open","12","6","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92339",""
"202490","DD275","HISTORY OF GAMES","007","92340","F","8:30 AM - 10:35 AM","WEST 260","Closed","15","15","Rodrigues, Miguel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92340",""
"202490","DD275","HISTORY OF GAMES","007","92340","T","8:30 AM - 11:20 AM","CAMP 236C","Closed","15","15","Rodrigues, Miguel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92340",""
"202490","DD275","HISTORY OF GAMES","101","92341","M","6:00 PM - 8:50 PM","CAMP 236H","Closed","15","15","Rodrigues, Miguel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92341",""
"202490","DD275","HISTORY OF GAMES","101","92341","R","6:00 PM - 7:55 PM","CAMP 236H","Closed","15","15","Rodrigues, Miguel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92341",""
"202490","DD275","HISTORY OF GAMES","103","92342","M","6:00 PM - 8:50 PM","CAMP 236H","Open","15","3","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92342",""
"202490","DD275","HISTORY OF GAMES","103","92342","R","6:00 PM - 7:55 PM","CAMP 236H","Open","15","3","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92342",""
"202490","DD303","FOUNDATIONS OF SOUND AND MUSIC","001","92343","MR","10:00 AM - 11:20 AM","WEST 210","Open","30","26","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92343",""
"202490","DD334","SIMULATED ENVIRONMENTS","103","92344","R","6:00 PM - 8:50 PM","WEST 650","Closed","15","15","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92344",""
"202490","DD334","SIMULATED ENVIRONMENTS","105","92345","T","6:00 PM - 8:50 PM","WEST 650","Closed","15","15","Rodrigues, Miguel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92345",""
"202490","DD363","DIGITAL DESIGN STUDIO III","001","92346","MR","1:00 PM - 5:20 PM","WEST 358","Closed","12","12","Thompson, Richard","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92346",""
"202490","DD363","DIGITAL DESIGN STUDIO III","003","92347","MR","1:00 PM - 5:20 PM","WEST 358","Closed","12","12","","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92347",""
"202490","DD443","2-DIMENSIONAL CHARACTER DESIGN","101","92348","W","6:00 PM - 8:50 PM","WEST 650","Open","15","6","Costello, Ian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92348",""
"202490","DD444","3-DIMENSIONAL CHARACTER DEVEL","101","92349","W","6:00 PM - 8:50 PM","CAMP 236H","Open","18","10","Rodrigues, Miguel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92349",""
