"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","DS340","FUND. AND PRIN. OF DS","001","92350","TR","4:00 PM - 5:20 PM","FMH 405","Open","30","7","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92350",""
"202490","DS636","DATA ANALYTICS WITH R PROGRAM","001","92351","R","1:00 PM - 3:50 PM","WEST LECT 2","Closed","55","55","Li, Daming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92351",""
"202490","DS636","DATA ANALYTICS WITH R PROGRAM","101","92352","R","6:00 PM - 8:50 PM","KUPF 108","Open","43","40","Bhavsar, Jaini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92352",""
"202490","DS636","DATA ANALYTICS WITH R PROGRAM","103","92353","F","6:00 PM - 8:50 PM","ECEC 100","Open","43","36","Bhavsar, Jaini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92353",""
"202490","DS636","DATA ANALYTICS WITH R PROGRAM","105","92354","T","6:00 PM - 8:50 PM","FMH 108","Closed","35","35","Bhavsar, Jaini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92354",""
"202490","DS636","DATA ANALYTICS WITH R PROGRAM","851","96397","","TBA"," ","Open","30","4","Li, Daming","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96397","Open to Newark and Virtual Campus Students<br />Online Course"
"202490","DS637","PYTHON AND MATHEMATICS","101","92355","R","6:00 PM - 8:50 PM","TIER LECT 2","Open","80","33","Li, Daming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92355",""
"202490","DS644","INTRODUCTION TO BIG DATA","001","92356","M","1:00 PM - 3:50 PM","KUPF 118","Closed","80","80","Zhang, Yijie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92356",""
"202490","DS644","INTRODUCTION TO BIG DATA","003","96455","M","1:00 PM - 3:50 PM","FMH 411","Open","35","2","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96455",""
"202490","DS644","INTRODUCTION TO BIG DATA","101","92357","F","6:00 PM - 8:50 PM","CKB 204","Closed","80","80","Li, Yajuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92357",""
"202490","DS644","INTRODUCTION TO BIG DATA","1J1","92358","M","6:00 PM - 8:50 PM"," ","Closed","25","25","Li, Yajuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92358","Offered at Jersey City"
"202490","DS644","INTRODUCTION TO BIG DATA","851","96387","","TBA"," ","Closed","30","30","Li, Yajuan","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96387","Open to Newark and Virtual Campus Students<br />Online Course"
"202490","DS650","DATA VISUALIZATION","001","92359","MR","1:00 PM - 2:20 PM","KUPF 117","Closed","43","43","Dasgupta, Aritra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92359",""
"202490","DS669","REINFORCEMENT LEARNING","1J1","92360","W","6:00 PM - 8:50 PM"," ","Closed","25","25","Li, Daming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92360","Offered at Jersey City"
"202490","DS675","MACHINE LEARNING","001","92361","MW","11:30 AM - 12:50 PM","KUPF 206","Open","43","11","Bakhshaliyev, Khalid","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92361",""
"202490","DS675","MACHINE LEARNING","003","92362","F","2:30 PM - 5:20 PM","KUPF 210","Open","80","45","Bakhshaliyev, Khalid","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92362",""
