"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","ECET201","CIRCUITS I","001","92743","R","3:15 PM - 5:20 PM","FMH 403","Open","18","6","Kayzman, Victor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92743",""
"202490","ECET201","CIRCUITS I","001","92743","T","12:15 PM - 2:20 PM","FMH 316","Open","18","6","Kayzman, Victor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92743",""
"202490","ECET201","CIRCUITS I","003","92744","F","1:00 PM - 3:05 PM","FMH 403","Open","18","17","Shekhar, Prateek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92744",""
"202490","ECET201","CIRCUITS I","003","92744","R","3:15 PM - 5:20 PM","FMH 318","Open","18","17","Shekhar, Prateek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92744",""
"202490","ECET201","CIRCUITS I","101","92745","F","6:00 PM - 7:55 PM","FMH 204A","Open","20","7","Ghrayeb, Ashraf","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92745",""
"202490","ECET201","CIRCUITS I","101","92745","F","8:05 PM - 10:00 PM","FMH 205","Open","20","7","Ghrayeb, Ashraf","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92745",""
"202490","ECET202","CIRCUITS II","001","92746","M","11:30 AM - 1:35 PM","FMH 318","Closed","20","20","Kayzman, Victor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92746",""
"202490","ECET202","CIRCUITS II","001","92746","W","11:30 AM - 1:35 PM","FMH 412","Closed","20","20","Kayzman, Victor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92746",""
"202490","ECET202","CIRCUITS II","101","92747","R","6:00 PM - 7:55 PM","FMH 314","Open","20","15","Vincent, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92747",""
"202490","ECET202","CIRCUITS II","101","92747","R","8:05 PM - 10:00 PM","FMH 304","Open","20","15","Vincent, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92747",""
"202490","ECET205","ANALOG ELECTRONICS","101","92748","R","6:00 PM - 7:55 PM","FMH 403","Closed","20","20","Park, Jinsoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92748",""
"202490","ECET205","ANALOG ELECTRONICS","101","92748","R","8:05 PM - 10:00 PM","FMH 316","Closed","20","20","Park, Jinsoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92748",""
"202490","ECET214","INTRO TO COMMUNICATION SYSTEMS","101","92749","W","6:00 PM - 7:55 PM","FMH 106","Open","20","8","Pepe, Russell","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92749",""
"202490","ECET214","INTRO TO COMMUNICATION SYSTEMS","101","92749","W","8:05 PM - 10:00 PM","FMH 316","Open","20","8","Pepe, Russell","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92749",""
"202490","ECET214","INTRO TO COMMUNICATION SYSTEMS","103","92750","M","6:00 PM - 7:55 PM","FMH 403","Open","20","19","Rabie, Mohammad","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92750",""
"202490","ECET214","INTRO TO COMMUNICATION SYSTEMS","103","92750","M","8:05 PM - 10:00 PM","FMH 304","Open","20","19","Rabie, Mohammad","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92750",""
"202490","ECET215","INTRO TO DIGITAL ELECTRONICS","001","92751","T","10:00 AM - 12:05 PM","FMH 304","Open","17","10","Rabie, Mohammad","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92751",""
"202490","ECET215","INTRO TO DIGITAL ELECTRONICS","001","92751","W","12:15 PM - 2:20 PM","CKB 212","Open","17","10","Rabie, Mohammad","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92751",""
"202490","ECET215","INTRO TO DIGITAL ELECTRONICS","101","92752","R","6:00 PM - 7:55 PM","FMH 203","Open","20","10","Ghrayeb, Ashraf","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92752",""
"202490","ECET215","INTRO TO DIGITAL ELECTRONICS","101","92752","R","8:05 PM - 10:00 PM","FMH 204A","Open","20","10","Ghrayeb, Ashraf","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92752",""
"202490","ECET300","CIRCUIT ANALYSIS","101","92753","M","6:00 PM - 8:50 PM","CKB 310","Open","30","2","Bokhari, Syed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92753",""
"202490","ECET300","CIRCUIT ANALYSIS","451","92754","","TBA"," ","Open","30","25","Rockland, Ronald","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92754","Online Course"
"202490","ECET303","CIRCUIT MEASUREMENTS I","101","92755","W","6:00 PM - 7:55 PM","FMH 403","Closed","20","20","Rabie, Mohammad","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92755",""
"202490","ECET303","CIRCUIT MEASUREMENTS I","101","92755","W","8:05 PM - 10:00 PM","FMH 318","Closed","20","20","Rabie, Mohammad","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92755",""
"202490","ECET305","INTEGRATED CIRCUIT APPLCTNS","001","92756","R","1:00 PM - 3:05 PM","FMH 304","Open","20","15","Rabie, Mohammad","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92756",""
"202490","ECET305","INTEGRATED CIRCUIT APPLCTNS","001","92756","T","1:00 PM - 3:05 PM","FMH 411","Open","20","15","Rabie, Mohammad","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92756",""
"202490","ECET305","INTEGRATED CIRCUIT APPLCTNS","101","92757","T","6:00 PM - 7:55 PM","FMH 403","Open","20","19","Rabie, Mohammad","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92757",""
"202490","ECET305","INTEGRATED CIRCUIT APPLCTNS","101","92757","T","8:05 PM - 10:00 PM","FMH 316","Open","20","19","Rabie, Mohammad","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92757",""
"202490","ECET311","EMBEDDED SYSTEMS I","001","92758","TR","10:00 AM - 12:05 PM","GITC 2308","Open","20","14","Azizi, Seyyedmohsen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92758",""
"202490","ECET311","EMBEDDED SYSTEMS I","101","92759","M","6:00 PM - 10:05 PM","GITC 2308","Open","20","13","Awad, Majd","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92759",""
"202490","ECET329","ANALOG DIGITAL ELECT NON MAJ","001","92760","M","8:30 AM - 10:35 AM","FMH 403","Open","20","18","De La Cruz, Albert","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92760",""
"202490","ECET329","ANALOG DIGITAL ELECT NON MAJ","001","92760","W","8:30 AM - 10:35 AM","FMH 318","Open","20","18","De La Cruz, Albert","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92760",""
"202490","ECET329","ANALOG DIGITAL ELECT NON MAJ","101","92761","R","6:00 PM - 7:55 PM","FMH 404","Closed","20","20","De La Cruz, Albert","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92761",""
"202490","ECET329","ANALOG DIGITAL ELECT NON MAJ","101","92761","R","8:05 PM - 10:00 PM","FMH 318","Closed","20","20","De La Cruz, Albert","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92761",""
"202490","ECET344","NUMERICAL COMP ENGR TECH","001","92762","R","2:30 PM - 4:35 PM","GITC 2308","Open","20","17","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92762",""
"202490","ECET344","NUMERICAL COMP ENGR TECH","001","92762","T","2:30 PM - 4:35 PM","GITC 2308","Open","20","17","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92762",""
"202490","ECET344","NUMERICAL COMP ENGR TECH","101","92763","R","6:00 PM - 10:05 PM","GITC 2308","Open","20","11","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92763",""
"202490","ECET350","COMPUTRZED INDUSTRL CONTROLS","102","92764","R","6:00 PM - 7:55 PM","CKB 126","Closed","20","20","Vanderbilt, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92764",""
"202490","ECET350","COMPUTRZED INDUSTRL CONTROLS","102","92764","R","8:05 PM - 10:00 PM","GITC 2310","Closed","20","20","Vanderbilt, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92764",""
"202490","ECET365","DIGITAL LOGIC & CIRCUIT DESIGN","101","92765","F","6:00 PM - 8:50 PM","CKB 226","Closed","25","25","Bokhari, Syed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92765",""
"202490","ECET395","ECET WORK EXPERIENCE I","347","92766","","TBA"," ","Open","19","0","Lieber, Samuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92766","See department for permission to enroll."
"202490","ECET395","ECET WORK EXPERIENCE I","349","92767","","TBA"," ","Open","19","0","Lieber, Samuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92767","See department for permission to enroll."
"202490","ECET400","SENIOR PROJECT","101","92768","M","6:00 PM - 10:05 PM","FMH 411","Open","20","17","Blinder, Alex","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92768","Department Permission Required"
