"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","ECE231","CIRCUITS & SYSTEMS I","001","92446","F","2:30 PM - 3:30 PM","TIER LECT 2","Open","80","44","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92446",""
"202490","ECE231","CIRCUITS & SYSTEMS I","001","92446","TR","2:30 PM - 3:50 PM","TIER LECT 2","Open","80","44","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92446",""
"202490","ECE231","CIRCUITS & SYSTEMS I","101","92447","R","6:00 PM - 10:05 PM","ECEC 115","Open","50","36","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92447",""
"202490","ECE231","CIRCUITS & SYSTEMS I - HONORS","HM1","92448","F","2:30 PM - 3:30 PM","TIER LECT 2","Open","20","10","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92448","Honors Course"
"202490","ECE231","CIRCUITS & SYSTEMS I - HONORS","HM1","92448","TR","2:30 PM - 3:50 PM","TIER LECT 2","Open","20","10","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92448","Honors Course"
"202490","ECE232","CIRCUITS & SYSTEMS II","001","92449","M","1:00 PM - 2:00 PM","ME 221","Open","50","45","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92449",""
"202490","ECE232","CIRCUITS & SYSTEMS II","001","92449","TR","2:30 PM - 3:50 PM","KUPF 205","Open","50","45","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92449",""
"202490","ECE232","CIRCUITS & SYSTEMS II","101","92450","F","6:00 PM - 10:05 PM","ECEC 115","Open","60","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92450",""
"202490","ECE232","CIRCUITS & SYSTEMS II - HONORS","HM1","92451","M","1:00 PM - 2:00 PM","ME 221","Open","10","5","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92451","Honors Course"
"202490","ECE232","CIRCUITS & SYSTEMS II - HONORS","HM1","92451","TR","2:30 PM - 3:50 PM","KUPF 205","Open","10","5","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92451","Honors Course"
"202490","ECE251","DIGITAL DESIGN","001","92452","F","8:30 AM - 9:50 AM","CULM 110","Open","38","32","Savir, Jacob","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92452",""
"202490","ECE251","DIGITAL DESIGN","001","92452","M","2:30 PM - 3:30 PM","CULM 110","Open","38","32","Savir, Jacob","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92452",""
"202490","ECE251","DIGITAL DESIGN","001","92452","W","8:30 AM - 9:50 AM","TIER 106","Open","38","32","Savir, Jacob","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92452",""
"202490","ECE251","DIGITAL DESIGN","003","92453","M","1:00 PM - 2:00 PM","KUPF 104","Open","38","14","Savir, Jacob","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92453",""
"202490","ECE251","DIGITAL DESIGN","003","92453","WF","10:00 AM - 11:20 AM","KUPF 108","Open","38","14","Savir, Jacob","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92453",""
"202490","ECE251","DIGITAL DESIGN","101","92454","T","6:00 PM - 10:05 PM","ECEC 100","Open","60","40","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92454",""
"202490","ECE252","MICROPROCESSORS","101","92455","W","6:00 PM - 8:50 PM","ECEC 100","Open","60","53","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92455",""
"202490","ECE271","ELECTRONIC CIRCUITS I","001","92456","M","2:30 PM - 3:30 PM","KUPF 205","Open","55","12","Bhavnagarwala, Azeez","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92456",""
"202490","ECE271","ELECTRONIC CIRCUITS I","001","92456","TR","11:30 AM - 12:50 PM","ECEC 115","Open","55","12","Bhavnagarwala, Azeez","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92456",""
"202490","ECE271","ELECTRONIC CIRCUITS I","101","92457","M","6:00 PM - 10:05 PM","FMH 207","Closed","38","38","Walker-Soler, Jean","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92457",""
"202490","ECE271","ELECTRONIC CIRCUITS I - HONORS","HM1","92458","M","2:30 PM - 3:30 PM","KUPF 205","Open","5","3","Walker-Soler, Jean","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92458","Honors Course"
"202490","ECE271","ELECTRONIC CIRCUITS I - HONORS","HM1","92458","TR","11:30 AM - 12:50 PM","ECEC 115","Open","5","3","Walker-Soler, Jean","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92458","Honors Course"
