"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","ECON201","ECONOMICS","001","92775","R","1:00 PM - 3:50 PM","GITC 1100","Open","55","35","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92775","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: ?<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202490","ECON201","ECONOMICS","003","92776","R","1:00 PM - 3:50 PM","GITC 1100","Open","55","10","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92776","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: ??<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202490","ECON201","ECONOMICS","101","92777","M","6:00 PM - 8:50 PM","GITC 1100","Open","55","13","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92777","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: ??<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202490","ECON201","ECONOMICS","103","92778","M","6:00 PM - 8:50 PM","GITC 1100","Open","55","9","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92778","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: ??<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202490","ECON201","ECONOMICS","451","92779","","TBA"," ","Closed","30","30","Bonitsis, Theologos","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92779","Online Course<br />Non Business Majors Only"
"202490","ECON201","ECONOMICS","453","92780","","TBA"," ","Closed","30","30","Chou, Porchiung","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92780","Online Course<br />Non Business Majors Only"
"202490","ECON265","MICROECONOMICS","001","92781","MW","1:00 PM - 2:20 PM","KUPF 204","Open","34","23","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92781",""
"202490","ECON265","MICROECONOMICS","451","92782","","TBA"," ","Closed","30","30","Chou, Porchiung","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92782","Online Course"
"202490","ECON265","MICROECONOMICS","453","92783","","TBA"," ","Closed","30","30","Bataille, Edner","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92783","Online Course"
"202490","ECON265","MICROECONOMICS","455","92784","","TBA"," ","Closed","30","30","Chou, Porchiung","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92784","Online Course"
"202490","ECON266","MACROECONOMICS","101","92785","MW","6:00 PM - 7:20 PM","KUPF 104","Open","41","20","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92785",""
"202490","ECON266","MACROECONOMICS","451","92786","","TBA"," ","Closed","30","30","Bataille, Edner","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92786","Online Course"
