"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","EM602","MANAGEMENT SCIENCE","101","92787","R","6:00 PM - 8:50 PM","ME 221","Open","40","1","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92787",""
"202490","EM602","MANAGEMENT SCIENCE","851","92788","","TBA"," ","Open","30","12","Ikhmeis, Sufian","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92788","Restricted to Virtual Campus Students Only<br />Online Course"
"202490","EM602","MANAGEMENT SCIENCE","853","92789","","TBA"," ","Open","30","3","Ikhmeis, Sufian","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92789","Restricted to Newark Campus Students Only<br />Online Course"
"202490","EM631","LEGAL ASPCT IN ENVR ENGR","851","92790","","TBA"," ","Open","30","17","Bonchonsky, Michael","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92790","Restricted to Newark Campus Students Only<br />Online Course"
"202490","EM632","LEGAL ASPECTS IN CONSTR","851","92791","","TBA"," ","Open","30","6","Avoryie, Abigail","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92791","Restricted to Virtual Campus Students Only<br />Online Course"
"202490","EM633","LEGAL ASPCTS OF HLT SFTY","101","92792","T","6:00 PM - 8:50 PM","CKB 317","Open","40","6","Kothari, Prakash","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92792",""
"202490","EM636","PROJECT MANAGEMENT","101","92793","W","6:00 PM - 8:50 PM","KUPF 117","Open","40","15","Zoppi, Philip","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92793","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery<br />Face-to-Face meetings held alternate weeks starting: 9-4-24"
"202490","EM636","PROJECT MANAGEMENT","103","92794","W","6:00 PM - 8:50 PM","KUPF 105","Open","40","25","Zoppi, Philip","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92794","Hybrid Course<br />Face-to-Face meetings held alternate weeks starting: 9-11-24"
"202490","EM636","PROJECT MANAGEMENT","105","92795","T","6:00 PM - 8:50 PM","ME 221","Open","40","0","Abdou, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92795",""
"202490","EM636","PROJECT MANAGEMENT","851","92796","","TBA"," ","Open","30","9","Zoppi, Philip","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92796","Restricted to Virtual Campus Students Only<br />Online Course"
