"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","ENE262","INTRO TO ENVIRONMENTAL ENGR","001","92859","T","10:00 AM - 2:20 PM","CKB 315","Closed","30","30","Schorr, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92859",""
"202490","ENE262","INTRO TO ENVIRONMENTAL ENGR","101","92860","T","6:00 PM - 10:05 PM","CULM 111","Open","30","23","Zhang, Wen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92860",""
"202490","ENE360","WATER & WASTEWATER ENGINEERING","101","92861","W","6:00 PM - 8:50 PM","CKB 126","Open","20","5","Venkatesan, Arjunkrishna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92861",""
"202490","ENE490","SENIOR PROJECT","181","92862","","TBA"," ","Open","19","0","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92862","See department for permission to enroll."
"202490","ENE490","SENIOR PROJECT","182","92863","","TBA"," ","Open","19","0","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92863","See department for permission to enroll."
"202490","ENE490","SENIOR PROJECT","197","92864","","TBA"," ","Open","19","0","Olenik, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92864","See department for permission to enroll."
"202490","ENE490","SENIOR PROJECT","198","92865","","TBA"," ","Open","19","0","Zhang, Wen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92865","See department for permission to enroll."
"202490","ENE490","SENIOR PROJECT","211","92866","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92866","See department for permission to enroll."
"202490","ENE490","SENIOR PROJECT","214","92867","","TBA"," ","Open","19","0","Ding, Yuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92867","See department for permission to enroll."
"202490","ENE593","GRADUATE CO-OP WORK EXP IV","194","92868","","TBA"," ","Open","19","0","Konon, Walter","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92868","See department for permission to enroll."
"202490","ENE661","ENVIRONMENTAL MICROBIOLOGY","101","92869","M","6:00 PM - 8:50 PM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92869","Cancelled 04/11/24"
"202490","ENE662","SITE REMEDIATION","851","92870","","TBA"," ","Open","20","3","Coler, Maria","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92870",""
"202490","ENE664","PHYS & CHEM TREATMENT","101","92871","M","6:00 PM - 8:50 PM","CULM LECT 3","Open","20","2","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92871",""
"202490","ENE672","STORMWATER MANAGEMENT","101","92872","W","6:00 PM - 8:50 PM","CKB 214","Open","20","5","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92872",""
"202490","ENE700B","MASTER'S PROJECT","181","92873","","TBA"," ","Open","19","0","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92873","See department for permission to enroll."
"202490","ENE700B","MASTER'S PROJECT","182","92874","","TBA"," ","Open","19","0","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92874","See department for permission to enroll."
"202490","ENE700B","MASTER'S PROJECT","197","92875","","TBA"," ","Open","19","0","Olenik, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92875","See department for permission to enroll."
"202490","ENE700B","MASTER'S PROJECT","198","92876","","TBA"," ","Open","19","0","Zhang, Wen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92876","See department for permission to enroll."
"202490","ENE700B","MASTER'S PROJECT","210","92877","","TBA"," ","Open","19","0","Axe, Lisa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92877","See department for permission to enroll."
"202490","ENE700B","MASTER'S PROJECT","211","92878","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92878","See department for permission to enroll."
"202490","ENE700B","MASTER'S PROJECT","214","92879","","TBA"," ","Open","19","0","Ding, Yuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92879","See department for permission to enroll."
"202490","ENE701B","MASTER'S THESIS","181","92880","","TBA"," ","Open","19","0","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92880","See department for permission to enroll."
"202490","ENE701B","MASTER'S THESIS","182","92881","","TBA"," ","Open","19","0","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92881","See department for permission to enroll."
"202490","ENE701B","MASTER'S THESIS","197","92882","","TBA"," ","Open","19","0","Olenik, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92882","See department for permission to enroll."
"202490","ENE701B","MASTER'S THESIS","198","92883","","TBA"," ","Open","19","0","Zhang, Wen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92883","See department for permission to enroll."
"202490","ENE701B","MASTER'S THESIS","211","92884","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92884","See department for permission to enroll."
"202490","ENE701B","MASTER'S THESIS","214","92885","","TBA"," ","Open","19","0","Ding, Yuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92885","See department for permission to enroll."
"202490","ENE701C","MASTER'S THESIS","181","92886","","TBA"," ","Open","19","0","Pennock, William","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92886","See department for permission to enroll."
"202490","ENE701C","MASTER'S THESIS","182","92887","","TBA"," ","Open","19","0","Boufadel, Michel","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92887","See department for permission to enroll."
"202490","ENE701C","MASTER'S THESIS","197","92888","","TBA"," ","Open","19","0","Olenik, Thomas","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92888","See department for permission to enroll."
