"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","ENGL096","RDING, WRTNG, CRIT THINKING","001","92922","M","1:00 PM - 2:20 PM","CKB G-17A","Closed","0","0","Paris, Jerome","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92922",""
"202490","ENGL096","RDING, WRTNG, CRIT THINKING","001","92922","R","8:30 AM - 9:50 AM","CULM 111","Closed","0","0","Paris, Jerome","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92922",""
"202490","ENGL096","RDING, WRTNG, CRIT THINKING","001","92922","T","8:30 AM - 11:20 AM","CULM 111","Closed","0","0","Paris, Jerome","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92922",""
"202490","ENGL099","ENGLISH COMP:RDNG, WRIT","001","92923","MR","8:30 AM - 9:50 AM","CKB 220","Closed","0","0","Blender, Roberta","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92923",""
"202490","ENGL099","ENGLISH COMP:RDNG, WRIT","003","92924","TR","2:30 PM - 3:50 PM","CKB 220","Closed","0","0","Chen, Kim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92924",""
"202490","ENGL099","ENGLISH COMP:RDNG, WRIT","005","92925","TF","2:30 PM - 3:50 PM","CKB 126","Closed","0","0","Ciccolo, Drew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92925",""
"202490","ENGL099","ENGLISH COMP:RDNG, WRIT","007","92926","TF","4:00 PM - 5:20 PM","CKB 220","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92926",""
"202490","ENGL100","INTRO TO ACADEMIC RDG, WRTG","001","92927","MR","2:30 PM - 3:50 PM","CKB G-17A","Closed","0","0","Livingstone, Victoria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92927",""
"202490","ENGL101","INTRO TO ACADEMIC WRITING","001","92928","TF","4:00 PM - 5:20 PM","CKB G-17A","Open","2","0","Wynter, Lionel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92928",""
"202490","ENGL101","INTRO TO ACADEMIC WRITING","003","92929","WF","1:00 PM - 2:20 PM","CKB G-17A","Closed","2","2","Lozauskas, Jeni","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92929",""
"202490","ENGL101","INTRO TO ACADEMIC WRITING","005","92930","TF","8:30 AM - 9:50 AM","CKB G-17A","Open","2","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92930",""
"202490","ENGL101","INTRO TO ACADEMIC WRITING","007","92931","MR","2:30 PM - 3:50 PM","GITC 2315A","Closed","2","2","Aladren, Vivian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=92931",""
