"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","001","93025","F","8:30 AM - 9:50 AM","FMH 412","Open","5","4","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93025",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","001","93025","TR","2:30 PM - 3:50 PM","ECEC 115","Open","5","4","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93025",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","001","93025","W","11:30 AM - 12:50 PM","MALL PC37","Open","5","4","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93025",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","003","93026","F","2:30 PM - 3:50 PM","FMH 412","Open","5","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93026",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","003","93026","R","4:00 PM - 5:20 PM","MALL PC36","Open","5","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93026",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","003","93026","TR","2:30 PM - 3:50 PM","ECEC 115","Open","5","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93026",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","005","93027","F","4:00 PM - 5:20 PM","MALL PC40","Open","5","1","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93027",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","005","93027","MR","8:30 AM - 9:50 AM","CKB 303","Open","5","1","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93027",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","005","93027","T","4:00 PM - 5:20 PM","FMH 409","Open","5","1","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93027",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","007","93028","F","10:00 AM - 11:20 AM","MALL PC36","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93028",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","007","93028","MR","8:30 AM - 9:50 AM","CKB 303","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93028",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","007","93028","T","8:30 AM - 9:50 AM","FMH 319","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93028",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","009","93029","MR","8:30 AM - 9:50 AM","CKB 303","Open","5","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93029",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","009","93029","T","11:30 AM - 12:50 PM","FMH 412","Open","5","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93029",""
"202490","ENGR101","ANALYTICAL METH FOR ENGR APPL","009","93029","W","1:00 PM - 2:20 PM","MALL PC39","Open","5","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93029",""
"202490","ENGR211","PROF. SKILLS FOR ENGINEERS I","001","96065","W","11:30 AM - 12:50 PM","KUPF 211","Closed","30","30","","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96065","Hybrid Course<br />Students should refer to syllabus for in-person meeting<br />dates"
