"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","ENTR210","INTRO TO ENTREPRENEURSHIP","001","93047","TR","4:00 PM - 5:20 PM","KUPF 203","Open","43","15","Zhang, Xi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93047",""
"202490","ENTR210","INTRO TO ENTREPRENEURSHIP","101","93048","R","6:00 PM - 7:20 PM","KUPF 107","Open","43","9","Zhang, Xi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93048",""
"202490","ENTR210","INTRO TO ENTREPRENEURSHIP","101","93048","T","6:00 PM - 7:20 PM","KUPF 105","Open","43","9","Zhang, Xi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93048",""
"202490","ENTR210","INTRO TO ENTREPRENEURSHIP","451","93049","","TBA"," ","Closed","30","30","Zhang, Xi","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93049","Online Course"
"202490","ENTR210","INTRO TO ENTREPRENEURSHIP","453","93050","","TBA"," ","Closed","30","30","Madda, Shrutika","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93050","Online Course"
"202490","ENTR210","INTRO TO ENTREPRENEURSHIP","455","95765","","TBA"," ","Open","30","1","Madda, Shrutika","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95765","Restricted to Online Accelerated Degree Completion Only<br />Class meets first half of the semester"
"202490","ENTR210","INTRO TO ENTREPRENEURSHIP","H01","93051","MW","1:00 PM - 2:20 PM","KUPF 105","Open","43","5","Naasz, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93051","Honors Course"
"202490","ENTR320","FINANCING NEW VENTURE","001","93052","TR","11:30 AM - 12:50 PM","CAB 3052","Closed","43","43","Annett, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93052",""
"202490","ENTR320","FINANCING NEW VENTURE","451","95766","","TBA"," ","Open","30","5","Annett, Mark","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95766","Restricted for Online accelerated degree completion<br />Class meets first half of the semester"
"202490","ENTR440","LEAN STARTUP ACCELERATOR","451","95777","","TBA"," ","Open","30","5","Annett, Mark","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95777","Restricted for Online accelerated degree completion<br />Class meets second half of the semester"
