"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","EVSC335","ENVIRONMENTAL LAW","001","93063","TR","11:30 AM - 12:50 PM","FMH 106","Open","25","20","Bonchonsky, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93063",""
"202490","EVSC385","ENVIRONMENTAL MICROBIOLOGY","001","93064","T","6:00 PM - 8:50 PM","TIER 106","Open","30","26","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93064",""
"202490","EVSC484","ENVIRONMENTAL ANALYSIS","101","93065","M","6:00 PM - 10:05 PM","TIER 205","Open","15","10","Sadik, Omowunmi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93065",""
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","131","93066","","TBA"," ","Open","19","0","Sadik, Omowunmi","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93066","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","132","93067","","TBA"," ","Open","19","0","Chen, Hao","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93067","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","135","93068","","TBA"," ","Open","19","0","Champagne, Pier Alexandre","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93068","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","136","93069","","TBA"," ","Open","19","0","Gund, Tamara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93069","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","137","93070","","TBA"," ","Open","19","0","Eberhart, Michael","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93070","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","138","93071","","TBA"," ","Open","19","0","Alipour Shakib, Farnaz","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93071","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","141","93072","","TBA"," ","Open","19","0","Casado Zapico, Sara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93072","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","142","93073","","TBA"," ","Open","19","0","Belfield, Kevin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93073","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","143","93074","","TBA"," ","Open","19","0","Li, Mengyan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93074","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","144","93075","","TBA"," ","Open","19","0","Zhang, Lijie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93075","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","148","93076","","TBA"," ","Open","19","0","Mitra, Somenath","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93076","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","151","93077","","TBA"," ","Open","19","0","Warner, Genoa","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93077","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","152","93078","","TBA"," ","Open","19","0","Zhang, Yuanwei","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93078","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","156","93079","","TBA"," ","Open","19","0","Farinas, Edgardo","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93079","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","158","93080","","TBA"," ","Open","19","0","Khalizov, Alexei","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93080","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","161","93081","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93081","See department for permission to enroll."
"202490","EVSC591","GRADUATE WORK EXPERIENCE I","843","93082","","TBA"," ","Open","19","0","Qiu, Zeyuan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93082","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","131","93083","","TBA"," ","Open","19","0","Sadik, Omowunmi","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93083","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","132","93084","","TBA"," ","Open","19","0","Chen, Hao","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93084","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","135","93085","","TBA"," ","Open","19","0","Champagne, Pier Alexandre","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93085","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","136","93086","","TBA"," ","Open","19","0","Gund, Tamara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93086","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","137","93087","","TBA"," ","Open","19","0","Eberhart, Michael","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93087","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","138","93088","","TBA"," ","Open","19","0","Alipour Shakib, Farnaz","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93088","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","141","93089","","TBA"," ","Open","19","0","Casado Zapico, Sara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93089","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","142","93090","","TBA"," ","Open","19","0","Belfield, Kevin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93090","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","143","93091","","TBA"," ","Open","19","0","Li, Mengyan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93091","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","144","93092","","TBA"," ","Open","19","0","Zhang, Lijie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93092","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","148","93093","","TBA"," ","Open","19","0","Mitra, Somenath","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93093","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","151","93094","","TBA"," ","Open","19","0","Warner, Genoa","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93094","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","152","93095","","TBA"," ","Open","19","0","Zhang, Yuanwei","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93095","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","156","93096","","TBA"," ","Open","19","0","Farinas, Edgardo","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93096","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","158","93097","","TBA"," ","Open","19","0","Khalizov, Alexei","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93097","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","161","93098","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93098","See department for permission to enroll."
"202490","EVSC592","GRADUATE WORK EXPERIENCE II","843","93099","","TBA"," ","Open","19","0","Qiu, Zeyuan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93099","See department for permission to enroll."
"202490","EVSC610","ENVIRONMENTAL CHEMICAL SCIENCE","101","93100","R","6:00 PM - 8:50 PM","GITC 2315A","Open","15","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93100",""
"202490","EVSC612","ENVIRONMENTAL ANALYSIS","101","93101","M","6:00 PM - 10:05 PM","TIER 205","Open","15","2","Sadik, Omowunmi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93101",""
"202490","EVSC616","TOXICOLOGY","101","93102","W","6:00 PM - 8:50 PM","FMH 205","Open","25","6","Warner, Genoa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93102",""
"202490","EVSC627","ENVIRONMENTAL MICROBIOLOGY","101","93103","T","6:00 PM - 8:50 PM","TIER 114","Open","25","2","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93103",""
"202490","EVSC700B","MASTER'S PROJECT","131","93104","","TBA"," ","Open","19","0","Sadik, Omowunmi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93104","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","132","93105","","TBA"," ","Open","19","0","Chen, Hao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93105","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","135","93106","","TBA"," ","Open","19","0","Champagne, Pier Alexandre","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93106","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","136","93107","","TBA"," ","Open","19","0","Gund, Tamara","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93107","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","137","93108","","TBA"," ","Open","19","0","Eberhart, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93108","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","138","93109","","TBA"," ","Open","19","0","Alipour Shakib, Farnaz","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93109","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","141","93110","","TBA"," ","Open","19","0","Casado Zapico, Sara","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93110","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","142","93111","","TBA"," ","Open","19","0","Belfield, Kevin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93111","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","143","93112","","TBA"," ","Open","19","0","Li, Mengyan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93112","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","144","93113","","TBA"," ","Open","19","0","Zhang, Lijie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93113","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","148","93114","","TBA"," ","Open","19","0","Mitra, Somenath","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93114","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","151","93115","","TBA"," ","Open","19","0","Warner, Genoa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93115","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","152","93116","","TBA"," ","Open","19","0","Zhang, Yuanwei","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93116","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","156","93117","","TBA"," ","Open","19","0","Farinas, Edgardo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93117","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","158","93118","","TBA"," ","Open","19","0","Khalizov, Alexei","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93118","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","161","93119","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93119","See department for permission to enroll."
"202490","EVSC700B","MASTER'S PROJECT","843","93120","","TBA"," ","Open","19","0","Qiu, Zeyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93120","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","131","93121","","TBA"," ","Open","19","0","Sadik, Omowunmi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93121","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","132","93122","","TBA"," ","Open","19","0","Chen, Hao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93122","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","135","93123","","TBA"," ","Open","19","0","Champagne, Pier Alexandre","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93123","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","136","93124","","TBA"," ","Open","19","0","Gund, Tamara","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93124","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","137","93125","","TBA"," ","Open","19","0","Eberhart, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93125","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","138","93126","","TBA"," ","Open","19","0","Alipour Shakib, Farnaz","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93126","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","141","93127","","TBA"," ","Open","19","0","Casado Zapico, Sara","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93127","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","142","93128","","TBA"," ","Open","19","0","Belfield, Kevin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93128","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","143","93129","","TBA"," ","Open","19","0","Li, Mengyan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93129","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","144","93130","","TBA"," ","Open","19","0","Zhang, Lijie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93130","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","148","93131","","TBA"," ","Open","19","0","Mitra, Somenath","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93131","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","151","93132","","TBA"," ","Open","19","0","Warner, Genoa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93132","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","152","93133","","TBA"," ","Open","19","0","Zhang, Yuanwei","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93133","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","156","93134","","TBA"," ","Open","19","0","Farinas, Edgardo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93134","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","158","93135","","TBA"," ","Open","19","0","Khalizov, Alexei","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93135","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","161","93136","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93136","See department for permission to enroll."
"202490","EVSC701B","MASTER'S THESIS","843","93137","","TBA"," ","Open","19","0","Qiu, Zeyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93137","See department for permission to enroll."
"202490","EVSC701C","MASTER'S THESIS","131","93138","","TBA"," ","Open","19","0","Sadik, Omowunmi","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93138","See department for permission to enroll."
"202490","EVSC701C","MASTER'S THESIS","132","93139","","TBA"," ","Open","19","0","Chen, Hao","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93139","See department for permission to enroll."
