"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N19","93233","R","10:00 AM - 12:50 PM","CKB 217","Closed","2","2","Feknous, Mohammed","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93233",""
"202490","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N21","93234","R","2:30 PM - 5:20 PM","CKB 217","Open","2","1","Carpinelli, John","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93234",""
"202490","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N23","93235","R","2:30 PM - 5:20 PM","CKB 217","Closed","2","2","Carpinelli, John","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93235",""
"202490","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N25","93236","R","10:00 AM - 12:50 PM","CKB 217","Closed","2","2","Feknous, Mohammed","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93236",""
"202490","FED101","ECE - FUNDAMENTALS OF ENGINEERING DESIGN","N27","93237","M","11:30 AM - 2:20 PM","FMH 211","Closed","2","2","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93237",""
"202490","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N41","93240","WF","1:00 PM - 2:20 PM","GITC 2305","Closed","5","5","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93240","ME Students Only"
"202490","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N43","93241","TR","10:00 AM - 11:20 AM","MALL PC37","Closed","5","5","Mani, Balraj","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93241","ME Students Only"
"202490","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N45","93242","TF","2:30 PM - 3:50 PM","MALL PC36","Open","5","0","Mani, Balraj","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93242","ME Students Only"
"202490","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N47","93243","TF","1:00 PM - 2:20 PM","MALL PC36","Open","5","2","Mani, Balraj","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93243","ME Students Only"
"202490","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N49","93244","WF","10:00 AM - 11:20 AM","GITC 2302","Open","5","3","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93244","ME Students Only"
"202490","FED101","ME - FUNDAMENTALS OF ENGINEERING DESIGN","N51","93245","MW","11:30 AM - 12:50 PM","GITC 2315C","Closed","5","5","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93245","ME Students Only"
"202490","FED101","MIE - FUNDAMENTALS OF ENGINEERING DESIGN - HONORS","HM1","93226","WF","1:00 PM - 2:20 PM","GITC 2305","Closed","0","0","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93226","Honors Course<br />ME Students Only"
