"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","FIN218","FINANCL MARKETS & INSTITUTIONS","001","93246","R","10:00 AM - 11:20 AM","KUPF 104","Closed","33","33","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93246",""
"202490","FIN218","FINANCL MARKETS & INSTITUTIONS","001","93246","T","10:00 AM - 11:20 AM","CKB 303","Closed","33","33","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93246",""
"202490","FIN218","FINANCL MARKETS & INSTITUTIONS","003","93247","MW","11:30 AM - 12:50 PM","FMH 408","Closed","43","43","Eliopoulos, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93247",""
"202490","FIN218","FINANCL MARKETS & INSTITUTIONS","101","93248","MW","7:30 PM - 8:50 PM","KUPF 104","Open","43","24","Ehrlich, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93248",""
"202490","FIN218","FINANCL MARKETS & INSTITUTIONS - HONORS","HM1","93249","R","10:00 AM - 11:20 AM","KUPF 104","Open","10","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93249","Honors Course"
"202490","FIN218","FINANCL MARKETS & INSTITUTIONS - HONORS","HM1","93249","T","10:00 AM - 11:20 AM","CKB 303","Open","10","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93249","Honors Course"
"202490","FIN306","BLOCKCHAIN TECH FOR BUSINESS","001","93250","TR","8:30 AM - 9:50 AM","CKB 204","Open","43","19","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93250",""
"202490","FIN310","DATA-DRIVEN FINANCIAL MODELING","001","93251","MW","11:30 AM - 12:50 PM","ECEC 115","Closed","43","43","Chang, Ai Chih","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93251","Students must bring their own device for this section."
"202490","FIN315","FUND OF CORPORATE FINANCE","001","93252","MW","1:00 PM - 2:20 PM","CULM LECT 3","Closed","33","33","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93252",""
"202490","FIN315","FUND OF CORPORATE FINANCE","003","93253","TR","1:00 PM - 2:20 PM","CULM LECT 1","Open","43","39","Uddin, Ajim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93253",""
"202490","FIN315","FUND OF CORPORATE FINANCE","101","93254","M","6:00 PM - 8:50 PM","CULM LECT 1","Open","43","4","DeSanto, Elliot","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93254",""
