"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","FRSC201","INTRO TO FORENSIC SCIENCE","001","93275","R","10:00 AM - 11:20 AM","FMH 319","Open","25","23","Fisher, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93275",""
"202490","FRSC201","INTRO TO FORENSIC SCIENCE","001","93275","T","10:00 AM - 11:20 AM","CKB 226","Open","25","23","Fisher, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93275",""
"202490","FRSC201","INTRO TO FORENSIC SCIENCE","003","93276","MW","10:00 AM - 11:20 AM","KUPF 204","Open","33","19","Parmelee, Kevin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93276",""
"202490","FRSC201","INTRO TO FORENSIC SCIENCE","005","93277","MR","1:00 PM - 2:20 PM","CKB 204","Open","33","12","Casado Zapico, Sara","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93277",""
"202490","FRSC359","PHYS METHODS OF FORENSICS &LAB","001","93279","M","1:00 PM - 4:35 PM","TIER 209","Open","20","13","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93279",""
"202490","FRSC359","PHYS METHODS OF FORENSICS &LAB","001","93279","W","12:15 PM - 2:20 PM","CULM LECT 1","Open","20","13","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93279",""
"202490","FRSC359","PHYS METHODS OF FORENSICS &LAB","003","93280","T","8:30 AM - 12:05 PM","TIER 209","Open","20","13","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93280",""
"202490","FRSC359","PHYS METHODS OF FORENSICS &LAB","003","93280","W","12:15 PM - 2:20 PM","CULM LECT 1","Open","20","13","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93280",""
"202490","FRSC475","FORENSIC CHEMISTRY & LAB","001","93281","R","8:30 AM - 12:50 PM","TIER 209","Open","24","3","Chen, Hao","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93281",""
"202490","FRSC475","FORENSIC CHEMISTRY & LAB","001","93281","T","10:00 AM - 12:05 PM","CKB 310","Open","24","3","Chen, Hao","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93281",""
