"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","FYSSEM","FIRST-YEAR SEMINAR","451","93305","","TBA"," ","Open","20","6","","Online Newark","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93305","Online Course"
"202490","FYSSEM","FIRST-YEAR SEMINAR","A01","93306","T","10:00 AM - 11:20 AM","FMH 319","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93306","ARCH"
"202490","FYSSEM","FIRST-YEAR SEMINAR","A03","93307","W","10:00 AM - 11:20 AM","FMH 407","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93307","ARCH"
"202490","FYSSEM","FIRST-YEAR SEMINAR","A05","93308","W","10:00 AM - 11:20 AM","FMH 409","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93308","ARCH"
"202490","FYSSEM","FIRST-YEAR SEMINAR","A07","93309","T","1:00 PM - 2:20 PM","FMH 407","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93309","ARCH"
"202490","FYSSEM","FIRST-YEAR SEMINAR","A09","93310","T","1:00 PM - 2:20 PM","FMH 409","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93310","ARCH"
"202490","FYSSEM","FIRST-YEAR SEMINAR","A11","93311","T","10:00 AM - 11:20 AM","FMH 409","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93311","ARCH"
"202490","FYSSEM","FIRST-YEAR SEMINAR","A13","93312","M","10:00 AM - 11:20 AM","FMH 407","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93312","AD"
"202490","FYSSEM","FIRST-YEAR SEMINAR","A15","93313","M","1:00 PM - 2:20 PM","FMH 407","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93313","AD"
"202490","FYSSEM","FIRST-YEAR SEMINAR","C01","93314","W","10:00 AM - 11:20 AM","CKB 314","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93314","CSLA A"
"202490","FYSSEM","FIRST-YEAR SEMINAR","C03","93315","M","10:00 AM - 11:20 AM","CKB 314","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93315","CSLA A"
