"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","HIST213","THE TWENTIETH-CENTURY WORLD","001","93388","MW","10:00 AM - 11:20 AM","CKB 114","Closed","31","31","Fuller, Frank","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93388",""
"202490","HIST213","THE TWENTIETH-CENTURY WORLD","003","93389","MW","11:30 AM - 12:50 PM","CKB 114","Closed","31","31","Fuller, Frank","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93389",""
"202490","HIST213","THE TWENTIETH-CENTURY WORLD","005","93390","TR","2:30 PM - 3:50 PM","CKB 114","Open","31","24","Petursson, Svanur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93390",""
"202490","HIST213","THE TWENTIETH-CENTURY WORLD","007","93391","TR","10:00 AM - 11:20 AM","CULM 110","Closed","31","31","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93391",""
"202490","HIST213","THE TWENTIETH-CENTURY WORLD","009","93392","TR","4:00 PM - 5:20 PM","CULM 111","Open","19","15","Kent, Scott","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93392",""
"202490","HIST213","THE TWENTIETH-CENTURY WORLD","101","93393","M","6:00 PM - 8:50 PM","CKB 114","Open","31","16","Morrison-Santana, Deborah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93393",""
"202490","HIST213","THE TWENTIETH-CENTURY WORLD","103","93394","W","6:00 PM - 8:50 PM","CKB 314","Closed","31","31","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93394",""
"202490","HIST213","THE TWENTIETH-CENTURY WORLD - HONORS","HM1","93395","TR","4:00 PM - 5:20 PM","CULM 111","Open","8","3","Kent, Scott","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93395","Honors Course"
"202490","HIST214","TECH & CULT IN AMER HISTORY","001","93396","MW","10:00 AM - 11:20 AM","CULM LECT 3","Open","31","13","Friedman, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93396",""
"202490","HIST214","TECH & CULT IN AMER HISTORY","003","93397","MW","11:30 AM - 12:50 PM","CKB 226","Open","31","26","Friedman, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93397",""
"202490","HIST310","HISTORY CO-OP I","003","93399","","TBA"," ","Open","19","0","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93399","For History Majors Only<br />See department for permission to enroll."
"202490","HIST310","LTC CO-OP I","001","93398","","TBA"," ","Open","19","3","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93398","For LTC Majors Only<br />See department for permission to enroll."
"202490","HIST311","HISTORY CO-OP II","003","93401","","TBA"," ","Open","19","0","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93401","For History Majors Only<br />For students who have completed HIST 310<br />See department for permission to enroll."
"202490","HIST311","LTC CO-OP II","001","93400","","TBA"," ","Open","19","0","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93400","For LTC Majors Only<br />For students who have completed HIST 310<br />See department for permission to enroll."
"202490","HIST320","LAW AND EVIDENCE","101","93402","M","6:00 PM - 8:50 PM","CKB 314","Closed","32","32","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93402",""
"202490","HIST325","ST: LAW AND SOCIAL MOVEMENTS IN TRANSNATIONAL PERSPECTIVE - HONORS","H01","96225","TR","4:00 PM - 5:20 PM","DHRH 212","Open","28","6","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96225","Honors Course"
"202490","HIST325","ST: SOUTHEAST EUROPE AND THE MODERN MIDDLE EAST","001","93403","TR","11:30 AM - 12:50 PM","CULM 111","Closed","30","30","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93403",""
"202490","HIST363","U.S. AS A WORLD POWER","101","93404","R","6:00 PM - 8:50 PM","CKB 314","Closed","30","30","Morrison-Santana, Deborah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93404",""
"202490","HIST372","CONTEMPORARY EUROPE","001","93405","TR","1:00 PM - 2:20 PM","CKB 114","Open","30","22","Petursson, Svanur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93405",""
"202490","HIST373","THE RISE OF MODERN SCIENCE","001","93406","MW","1:00 PM - 2:20 PM","FMH 403","Open","30","19","Schweizer, Karl","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93406",""
"202490","HIST390","HISTL PROB THROUGH FILM","001","93407","F","1:00 PM - 3:50 PM","CULM LECT 1","Closed","30","30","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93407",""
"202490","HIST390","HISTL PROB THROUGH FILM","101","93408","W","6:00 PM - 8:50 PM","CULM LECT 1","Closed","30","30","Kent, Scott","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93408","See department for topics."
