"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","HRM301","ORGANIZATIONAL BEHAVIOR","001","93461","TR","1:00 PM - 2:20 PM","KUPF 118","Open","43","29","Schachter, Hindy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93461",""
"202490","HRM301","ORGANIZATIONAL BEHAVIOR","003","93462","TR","10:00 AM - 11:20 AM","CAB 3052","Open","43","15","Schachter, Hindy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93462",""
"202490","HRM301","ORGANIZATIONAL BEHAVIOR","451","93463","","TBA"," ","Closed","30","30","Casal, Jose","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93463","Online Course"
"202490","HRM301","ORGANIZATIONAL BEHAVIOR","453","93464","","TBA"," ","Closed","30","30","Casal, Jose","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93464","Online Course"
"202490","HRM301","ORGANIZATIONAL BEHAVIOR","455","95767","","TBA"," ","Open","30","5","Casal, Jose","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95767","Restricted for Online accelerated degree completion<br />Class meets first half of the semester"
"202490","HRM601","ORG BEHAVIOR IN TECH ORGS","001","93465","R","2:30 PM - 5:20 PM","KUPF 105","Open","43","4","Somers, Mark","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93465","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings alternate weeks starting September 12"
"202490","HRM601","ORG BEHAVIOR IN TECH ORGS","003","93466","T","2:30 PM - 5:20 PM","KUPF 103","Closed","43","42","Casal, Jose","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93466","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings alternate weeks starting September 3"
"202490","HRM601","ORG BEHAVIOR IN TECH ORGS","101","93467","M","6:00 PM - 8:50 PM","KUPF 206","Open","43","5","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93467","Hybrid Course<br />Face-to-face meetings alternate weeks starting September 9"
"202490","HRM601","ORG BEHAVIOR IN TECH ORGS","851","93468","","TBA"," ","Open","30","19","Somers, Mark","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93468","Restricted to Virtual Campus Students Only<br />Online Course"
"202490","HRM601","ORG BEHAVIOR IN TECH ORGS","853","93469","","TBA"," ","Open","30","4","Somers, Mark","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93469","Restricted to Virtual Campus Students Only<br />Online Course"
"202490","HRM601","ORG BEHAVIOR IN TECH ORGS","855","93470","","TBA"," ","Open","30","29","Manyindo, Benjamin","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93470","Restricted to Newark Campus Students Only<br />Online Course"
"202490","HRM601","ORG BEHAVIOR IN TECH ORGS","857","96371","","TBA"," ","Open","19","6","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96371","Restricted to Company Cohort<br />Online Course"
"202490","HRM630","MANAGING TECH & ORG CHNG","101","93471","M","6:00 PM - 8:50 PM","FMH 308","Open","43","9","Attallah, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93471",""
