"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","HSS404","ENG SEM:  FAKE NEWS AND MISINFORMATION IN THE POST-TRUTH ERA","107","93500","W","6:00 PM - 8:50 PM","KUPF 211","Closed","20","20","Crespo Solis, Andres","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93500",""
"202490","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","041","93485","M","10:00 AM - 11:20 AM","FMH 412","Closed","20","20","Gorelick, Risa","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93485","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202490","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","041","93485","","TBA"," ","Closed","20","20","Gorelick, Risa","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93485","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202490","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","043","93486","M","2:30 PM - 3:50 PM","FMH 205","Closed","20","20","Gorelick, Risa","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93486","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202490","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","043","93486","","TBA"," ","Closed","20","20","Gorelick, Risa","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93486","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202490","HSS404","ENG SEM: GRAPHIC NOVELS, COMICS AND CARTOONS","057","93493","MR","2:30 PM - 3:50 PM","CKB 126","Closed","20","20","Slovis, Jake","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93493",""
"202490","HSS404","ENG SEM: GRAPHIC NOVELS, COMICS AND CARTOONS","059","93494","MR","4:00 PM - 5:20 PM","CKB 220","Closed","20","20","Slovis, Jake","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93494",""
"202490","HSS404","ENG SEM: LIFELONG LEARNING WITH AUDIOBOOKS","027","93478","TR","10:00 AM - 11:20 AM","CULM LECT 1","Closed","20","20","Johnson, Carol","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93478",""
"202490","HSS404","ENG SEM: MONSTERS: HUMANITY'S HIDDEN FACE","049","93489","TF","4:00 PM - 5:20 PM","CKB 315","Open","20","6","Ciccolo, Drew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93489",""
"202490","HSS404","ENG SEM:MEMES: RHETORIC, GENRES, APPLICATIONS","029","93479","WF","10:00 AM - 11:20 AM","CKB 219","Open","20","19","Deane, Johanna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93479",""
"202490","HSS404","ENG SEM:MEMES: RHETORIC, GENRES, APPLICATIONS","047","93488","WF","1:00 PM - 2:20 PM","CKB 215","Open","20","19","Deane, Johanna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93488",""
"202490","HSS404","HISTORY SEMINAR: BIOTECHNOLOGY AND THE LAW - HONORS","H03","96224","MW","10:00 AM - 11:20 AM","DHRH 212","Open","20","16","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96224","Honors Course"
"202490","HSS404","HISTORY SEMINAR: EPIDEMIC, JUSTICE, AND BIOCAPITALISM - HONORS","H01","93504","TF","8:30 AM - 9:50 AM","CKB 114","Open","20","17","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93504","Honors Course"
"202490","HSS404","HISTORY SEMINAR: GLOBAL POLITICS","101","93499","T","6:00 PM - 8:50 PM","FMH 319","Open","20","17","Schweizer, Karl","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93499",""
"202490","HSS404","HISTORY SEMINAR: HISTORY OF MURDER","005","93474","TR","2:30 PM - 3:50 PM","CULM LECT 2","Closed","20","20","Lefkovitz, Alison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93474",""
"202490","HSS404","HISTORY SEMINAR: INFRASTRUCTURE AND INEQUALITY","001","93472","MW","10:00 AM - 11:20 AM","CKB 220","Closed","20","20","Arcadi, Teal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93472",""
"202490","HSS404","HISTORY SEMINAR: INFRASTRUCTURE AND INEQUALITY","003","93473","MW","1:00 PM - 2:20 PM","CKB 315","Closed","20","20","Arcadi, Teal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93473",""
"202490","HSS404","LIT SEM: HOW LEGENDS BECOME MYTHS: A JOURNEY THROUGH CLASSIC GREEK LITERATURE","045","93487","TR","1:00 PM - 2:20 PM","FMH 321","Open","20","16","Egan, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93487",""
"202490","HSS404","LIT SEM: LIFELONG LEARNING WITH AUDIOBOOKS","037","93483","TR","11:30 AM - 12:50 PM","FMH 321","Closed","20","20","Johnson, Carol","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93483",""
"202490","HSS404","LIT SEM: MYSTERY WRITERS ON SCREEN","109","93501","R","6:00 PM - 8:50 PM","CKB 212","Open","20","12","Esche, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93501",""
"202490","HSS404","LIT SEM: NEWARK NARRATIVES: ART/CULTURE/SITE LITERACIES","063","93496","TR","4:00 PM - 5:20 PM","CKB 310","Open","20","12","Curley, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93496",""
"202490","HSS404","LIT SEM: NEWARK NARRATIVES: ART/CULTURE/SITE LITERACIES - HONORS","H09","93506","TR","1:00 PM - 2:20 PM","CULM 111","Closed","20","20","Curley, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93506","Honors Course"
"202490","HSS404","LIT SEM: NEWARK NARRATIVES: ART/CULTURE/SITE LITERACIES - HONORS","H11","93507","T","6:00 PM - 8:50 PM","CKB 214","Closed","20","20","Curley, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93507","Honors Course"
"202490","HSS404","LIT SEM: SPECULATIVE TECHNOLOGIES IN SCIENCE FICTION","035","93482","MW","11:30 AM - 12:50 PM","FMH 321","Open","20","11","Siemann, Catherine","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93482",""
"202490","HSS404","LIT SEM: THE BRICK CITY, HOW NEWARK BECAME NEWARK","031","93480","TR","8:30 AM - 9:50 AM","CKB 314","Open","20","8","Ascarelli, Miriam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93480",""
"202490","HSS404","LIT SEM: THE BRICK CITY, HOW NEWARK BECAME NEWARK - HONORS","H07","93505","TR","10:00 AM - 11:20 AM","CULM LECT 3","Closed","20","20","Ascarelli, Miriam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93505","Honors Course"
"202490","HSS404","LIT SEM: TRAGICOMEDY ACROSS GENRES","025","93477","WF","10:00 AM - 11:20 AM","CULM 111","Open","20","4","McRae, Calista","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93477",""
"202490","HSS404","PHIL SEM: AI ETHICS","061","93495","TF","10:00 AM - 11:20 AM","CKB 126","Open","20","17","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93495",""
"202490","HSS404","PHIL SEM: AI ETHICS","067","93498","TF","1:00 PM - 2:20 PM","CULM 110","Open","20","7","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93498",""
"202490","HSS404","STS SEM: BECOMING AN EFFECTIVE EXPERT: HOW TO COMMUNICATE TO DIVERSE AUDIENCES","451","93502","","TBA"," ","Closed","20","20","Lipuma, James","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93502","Online Course"
"202490","HSS404","STS SEM: BECOMING AN EFFECTIVE EXPERT: HOW TO COMMUNICATE TO DIVERSE AUDIENCES","453","93503","","TBA"," ","Closed","20","20","Lipuma, James","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93503","Online Course"
"202490","HSS404","STS SEM: CYBORG ANTHROPOLOGY","051","93490","WF","1:00 PM - 2:20 PM","CKB 313","Open","20","19","Brooks, Charles","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93490",""
"202490","HSS404","STS SEM: HAPPINESS AND THE GOOD LIFE","021","93475","MW","8:30 AM - 9:50 AM","CKB 313","Closed","20","20","Khichi, Narendra-Neel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93475",""
"202490","HSS404","STS SEM: HAPPINESS AND THE GOOD LIFE","023","93476","MW","10:00 AM - 11:20 AM","CKB 313","Closed","20","20","Khichi, Narendra-Neel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93476",""
"202490","HSS404","STS SEM: MEDICINE AND GLOBALIZATION","039","93484","MW","11:30 AM - 12:50 PM","FMH 319","Open","20","5","Edel, Gareth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93484",""
"202490","HSS404","STS SEM: PHILOSOPHY OF ANIMAL MINDS","053","93491","TR","11:30 AM - 12:50 PM","CULM 110","Open","20","16","See, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93491",""
"202490","HSS404","STS SEM: PHILOSOPHY OF ANIMAL MINDS","055","93492","TR","2:30 PM - 3:50 PM","CULM 110","Closed","20","20","See, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93492",""
"202490","HSS404","STS SEM: THE ART OF FILM: LOVE, WAR, & COMIC RELIEF","069","96216","F","8:30 AM - 11:20 AM","TIER LECT 1","Open","20","13","Castronova, Louise","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96216",""
"202490","HSS404","STS SEM: THE ART OF FILM: LOVE, WAR, & COMIC RELIEF","071","96218","F","1:00 PM - 3:50 PM","TIER 114","Closed","20","20","Castronova, Louise","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96218",""
"202490","HSS404","STS SEM: THE SOCIAL MEDIA DILEMMA","033","93481","TR","10:00 AM - 11:20 AM","CULM LECT 2","Closed","20","20","Hunt, Theresa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93481",""
"202490","HSS404","THTR SEM: FILM STUDIES- ART OF THE SHORT FILM","065","93497","TF","2:30 PM - 3:50 PM","CKB 313","Open","20","7","Reyes, Rodney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93497",""
