"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","IE203","COMPUTER GRAPHICS IN IE","001","93516","M","10:00 AM - 12:50 PM"," ","Cancelled","35","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93516","Cancelled 04/04/24"
"202490","IE334","ENGR ECO & CPTL INV ANAL","001","93517","MR","2:30 PM - 3:50 PM","GITC 2305","Open","35","7","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93517",""
"202490","IE335","ENGR COST ANAL & CONTROL","001","93518","TF","2:30 PM - 3:50 PM","GITC 2305","Open","35","26","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93518",""
"202490","IE335","ENGR COST ANAL & CONTROL","451","93519","","TBA"," ","Closed","30","30","Dumay, Dielanda","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93519","Online Course"
"202490","IE335","ENGR COST ANAL & CONTROL","453","96373","","TBA"," ","Open","30","24","Dumay, Dielanda","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96373","Online Course"
"202490","IE339","WORK MEASUREMENT AND STANDARDS","101","93520","T","6:00 PM - 10:05 PM","GITC 2311","Open","20","6","Tovar, Sandra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93520",""
"202490","IE355","HUMAN FACTORS IN IE","101","93521","M","6:00 PM - 8:50 PM","ME 224","Closed","40","40","Kothari, Prakash","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93521",""
"202490","IE439","DETERMINISTIC MOD IN OPER RESR","101","93522","F","6:00 PM - 8:50 PM","GITC 2305","Open","30","20","Shen, Bo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93522",""
"202490","IE439","DETERMINISTIC MOD IN OPER RESR - HONORS","HM1","93523","F","6:00 PM - 8:50 PM","GITC 2305","Open","5","0","Shen, Bo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93523","Honors Course"
"202490","IE441","INFO & KNOW ENGR SYSTEMS","001","93524","WF","10:00 AM - 11:20 AM","GITC 2315C","Open","34","17","Park, SangWoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93524",""
