"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","IS117","INTRO TO WEBSITE DEVELOPMENT","001","93654","TR","8:30 AM - 9:50 AM","CKB 330","Open","27","23","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93654",""
"202490","IS117","INTRO TO WEBSITE DEVELOPMENT","003","93655","MW","10:00 AM - 11:20 AM","CKB 223","Open","27","23","Hendela, Arthur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93655",""
"202490","IS117","INTRO TO WEBSITE DEVELOPMENT","005","93656","MR","2:30 PM - 3:50 PM","CKB 223","Open","27","22","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93656",""
"202490","IS218","BUILDING WEB APPLICATIONS","001","93657","WF","8:30 AM - 9:50 AM","CKB 106","Open","38","25","Zhang, Jiaxing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93657",""
"202490","IS218","BUILDING WEB APPLICATIONS","003","93658","TF","4:00 PM - 5:20 PM","CKB 317","Open","38","37","Zhang, Yunhao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93658",""
"202490","IS247","DESIGNING THE USER EXPERIENCE","001","93659","MR","2:30 PM - 3:50 PM","CKB G-08","Closed","40","40","Spryszynski, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93659",""
"202490","IS247","DESIGNING THE USER EXPERIENCE","003","93660","MW","1:00 PM - 2:20 PM","KUPF 103","Open","40","25","Lee, Sooyeon","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93660",""
"202490","IS247","DESIGNING THE USER EXPERIENCE","005","93661","TR","1:00 PM - 2:20 PM","CKB 124","Open","40","19","Dang, Khang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93661",""
"202490","IS247","DESIGNING THE USER EXPERIENCE","101","93662","T","6:00 PM - 8:50 PM","CKB G-08","Open","30","20","Ohshiro, Keita","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93662",""
"202490","IS247","DESIGNING THE USER EXPERIENCE - HONORS","H01","96209","MR","10:00 AM - 11:20 AM","CKB G-08","Open","30","3","Spryszynski, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96209","Honors Course"
"202490","IS257","DESIGN THINKING: ADDRESSING STRUCTURAL INEQUALITY- HONORS","H01","93663","WF","1:00 PM - 2:20 PM","KUPF 118","Open","40","16","Lee, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93663","Honors Course"
