"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","IT101","INTRO TO INFORMTN TECHNOLGY","001","93990","MW","8:30 AM - 9:50 AM","CKB 317","Open","28","8","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93990",""
"202490","IT101","INTRO TO INFORMTN TECHNOLGY","003","93991","TR","10:00 AM - 11:20 AM","KUPF 106","Open","28","20","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93991",""
"202490","IT101","INTRO TO INFORMTN TECHNOLGY","005","93992","TR","4:00 PM - 5:20 PM","CKB 120","Open","28","5","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93992",""
"202490","IT101","INTRO TO INFORMTN TECHNOLGY","007","93993","MR","4:00 PM - 5:20 PM","CKB 317","Open","28","9","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93993",""
"202490","IT101","INTRO TO INFORMTN TECHNOLGY","101","93994","M","6:00 PM - 8:50 PM","CKB 330","Open","35","25","Nazzaro, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93994",""
"202490","IT101","INTRO TO INFORMTN TECHNOLGY","105","93995","T","6:00 PM - 8:50 PM","CKB 212","Open","35","31","Nazzaro, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93995",""
"202490","IT114","ADV PROGRAM FOR INFOR TECH","001","93996","TR","4:00 PM - 5:20 PM","GITC 3600","Closed","30","30","Halper, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93996",""
"202490","IT114","ADV PROGRAM FOR INFOR TECH","003","93997","MW","11:30 AM - 12:50 PM","CKB 330","Closed","40","40","Toegel, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93997",""
"202490","IT114","ADV PROGRAM FOR INFOR TECH","005","93998","MW","1:00 PM - 2:20 PM","CKB 106","Closed","40","40","Toegel, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93998",""
"202490","IT120","INTRO TO NETWORKING TECHNOLOGY","001","93999","TR","8:30 AM - 9:50 AM","GITC 1202","Open","28","13","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=93999",""
