"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","MARC701B","MASTER'S THESIS","002","94069","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94069","See department for permission to enroll."
"202490","MARC701B","MASTER'S THESIS","003","94070","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94070","See department for permission to enroll."
"202490","MARC701B","MASTER'S THESIS","004","94071","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94071","See department for permission to enroll."
"202490","MARC701B","MASTER'S THESIS","011","94072","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94072","See department for permission to enroll."
"202490","MARC701B","MASTER'S THESIS","020","94073","","TBA"," ","Open","19","0","Schuman, Anthony","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94073","See department for permission to enroll."
"202490","MARC701B","MASTER'S THESIS","032","94074","","TBA"," ","Open","19","0","Bartle, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94074","See department for permission to enroll."
"202490","MARC701B","MASTER'S THESIS","035","94075","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94075","See department for permission to enroll."
"202490","MARC701B","MASTER'S THESIS","037","94076","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94076","See department for permission to enroll."
"202490","MARC701C","MASTER'S THESIS","002","94077","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94077","See department for permission to enroll."
"202490","MARC701C","MASTER'S THESIS","005","94078","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94078","See department for permission to enroll."
"202490","MARC701C","MASTER'S THESIS","037","94079","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94079","See department for permission to enroll."
