"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","MATH101","FOUNDATIONS OF MATH LIB ARTS","001","94080","TR","4:00 PM - 5:20 PM","KUPF 104","Closed","17","17","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94080",""
"202490","MATH105","ELEM PROBABILITY & STATISTICS","001","94081","TF","1:00 PM - 2:20 PM","KUPF 208","Open","29","26","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94081",""
"202490","MATH105","ELEM PROBABILITY & STATISTICS","003","94082","TR","2:30 PM - 3:50 PM","KUPF 204","Closed","29","29","Carter, Sunletha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94082",""
"202490","MATH105","ELEM PROBABILITY & STATISTICS","005","94083","TR","1:00 PM - 2:20 PM","KUPF 203","Open","29","28","Carter, Sunletha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94083",""
"202490","MATH105","ELEM PROBABILITY & STATISTICS","007","94084","TF","10:00 AM - 11:20 AM","KUPF 202","Open","29","20","Horwitz, Kenneth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94084",""
"202490","MATH105","ELEM PROBABILITY & STATISTICS","009","94085","TF","2:30 PM - 3:50 PM","KUPF 104","Open","29","9","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94085",""
"202490","MATH105","ELEM PROBABILITY & STATISTICS","011","94086","TF","1:00 PM - 2:20 PM","KUPF 206","Open","29","9","Horwitz, Kenneth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94086",""
"202490","MATH105","ELEM PROBABILITY & STATISTICS","013","94087","MR","2:30 PM - 3:50 PM","CKB 320","Open","29","22","Kim, Chulmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94087",""
"202490","MATH105","ELEM PROBABILITY & STATISTICS","101","94088","W","6:00 PM - 8:50 PM","KUPF 207","Open","36","10","Dandan, Raed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94088",""
"202490","MATH105","ELEM PROBABILITY & STATISTICS","103","94089","M","6:00 PM - 8:50 PM","CKB 206","Open","36","12","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94089",""
"202490","MATH107","UNIVERSITY MATHEMATICS A","001","94090","TF","8:30 AM - 9:50 AM","FMH 110","Open","12","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94090","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","MATH107","UNIVERSITY MATHEMATICS A","003","94091","TF","10:00 AM - 11:20 AM","TIER 107","Open","12","3","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94091","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","MATH107","UNIVERSITY MATHEMATICS A","005","94092","TR","4:00 PM - 5:20 PM","TIER 107","Open","12","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94092","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","MATH107","UNIVERSITY MATHEMATICS A","007","94093","TF","1:00 PM - 2:20 PM","TIER 111","Open","12","4","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94093","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","MATH107","UNIVERSITY MATHEMATICS A","009","94094","TF","10:00 AM - 11:20 AM","TIER 111","Open","12","1","Gupta, Shalini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94094","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
