"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","MECH234","ENGINEERING MECHANICS","001","94545","T","10:00 AM - 12:05 PM","CKB 217","Closed","65","65","Milano, Geraldine","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94545","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202490","MECH234","ENGINEERING MECHANICS","003","94546","M","11:30 AM - 1:35 PM","KUPF 211","Open","65","53","Saadeghvaziri, Mohamad","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94546","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202490","MECH234","ENGINEERING MECHANICS - HONORS","HM1","94547","M","11:30 AM - 1:35 PM","KUPF 211","Open","10","7","Saadeghvaziri, Mohamad","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94547","Honors Course<br />Hybrid Course<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202490","MECH235","STATICS","001","94548","MW","10:00 AM - 11:20 AM","CULM LECT 1","Closed","25","25","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94548","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202490","MECH235","STATICS","001","94548","W","1:00 PM - 2:00 PM","CULM 110","Closed","25","25","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94548","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202490","MECH235","STATICS","003","94549","MW","10:00 AM - 11:20 AM","CULM LECT 1","Closed","25","25","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94549","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202490","MECH235","STATICS","003","94549","W","11:30 AM - 12:30 PM","CKB 126","Closed","25","25","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94549","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202490","MECH236","DYNAMICS","001","94550","R","11:30 AM - 1:35 PM","COLT 416","Closed","40","40","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94550",""
"202490","MECH236","DYNAMICS","003","94551","T","2:30 PM - 4:35 PM","WEST LECT 2","Open","40","28","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94551",""
"202490","MECH236","DYNAMICS","005","94552","T","3:15 PM - 5:20 PM","GITC 1100","Open","40","30","Milano, Geraldine","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94552",""
"202490","MECH236","DYNAMICS","007","94553","W","8:30 AM - 10:35 AM","TIER LECT 2","Open","40","31","","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94553",""
