"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","MET103","ENGRG GRAPHICS & INTRO TO CAD","001","94563","T","1:00 PM - 3:50 PM","GITC 2302","Closed","2","2","Rahman, Sahidur","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94563",""
"202490","MET103","ENGRG GRAPHICS & INTRO TO CAD","003","94564","W","10:00 AM - 12:50 PM","GITC 2305","Closed","2","2","Frank, Philip","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94564",""
"202490","MET103","ENGRG GRAPHICS & INTRO TO CAD","005","94565","R","10:00 AM - 12:50 PM","FENS 160","Closed","2","2","Sodhi, Jaskirat","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94565",""
"202490","MET103","ENGRG GRAPHICS & INTRO TO CAD","007","94566","F","8:30 AM - 11:20 AM","FENS 160","Closed","2","2","Sodhi, Jaskirat","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94566",""
"202490","MET103","ENGRG GRAPHICS & INTRO TO CAD","101","94567","R","6:00 PM - 8:50 PM","MALL PC36","Open","21","12","Lanfrank, Mark","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94567",""
"202490","MET103","ENGRG GRAPHICS & INTRO TO CAD","103","94568","W","6:00 PM - 8:50 PM","MALL PC36","Open","21","16","Lanfrank, Mark","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94568",""
"202490","MET103","ENGRG GRAPHICS & INTRO TO CAD","105","94569","M","6:00 PM - 8:50 PM","MALL PC37","Open","21","11","Orlos, Daniel","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94569",""
"202490","MET105","APPLIED CAD","101","94570","R","6:00 PM - 8:50 PM","GITC 2302","Closed","24","24","Shamroukh, Ramy","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94570",""
"202490","MET105","APPLIED CAD","103","94571","W","6:00 PM - 8:50 PM","GITC 2302","Open","24","16","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94571",""
"202490","MET205","ADVANCED CAD","101","94572","R","6:00 PM - 10:05 PM","MALL PC37","Open","20","14","Suriano, Justin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94572",""
"202490","MET235","STATICS FOR TECHNOLOGY","001","94573","TF","8:30 AM - 9:50 AM","CKB 313","Open","30","13","Rohafza, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94573",""
"202490","MET235","STATICS FOR TECHNOLOGY","101","94574","W","6:00 PM - 8:50 PM","FMH 305","Open","20","16","Rohafza, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94574",""
"202490","MET236","DYNAMICS FOR TECHNOLOGY","101","94575","F","6:00 PM - 7:55 PM","CKB 320","Open","30","16","Botros, Mina","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94575",""
"202490","MET237","STRNGTH OF MATERIALS FOR TEC","001","94576","R","1:00 PM - 3:05 PM","CKB 315","Open","20","15","Rohafza, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94576",""
"202490","MET237","STRNGTH OF MATERIALS FOR TEC","001","94576","T","11:30 AM - 1:35 PM","COLT 422","Open","20","15","Rohafza, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94576",""
"202490","MET237","STRNGTH OF MATERIALS FOR TEC","101","94577","T","6:00 PM - 7:55 PM","FMH 321","Open","20","8","Savransky, Maxim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94577",""
"202490","MET237","STRNGTH OF MATERIALS FOR TEC","101","94577","T","8:05 PM - 10:00 PM","COLT 422","Open","20","8","Savransky, Maxim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94577",""
"202490","MET301","ANAL & DGN MACHN ELEMS I","001","94578","R","1:00 PM - 3:05 PM","ME 214","Closed","20","20","Sengupta, Arijit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94578",""
"202490","MET301","ANAL & DGN MACHN ELEMS I","001","94578","T","1:00 PM - 3:05 PM","CKB 226","Closed","20","20","Sengupta, Arijit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94578",""
"202490","MET301","ANAL & DGN MACHN ELEMS I","101","94579","M","6:00 PM - 7:55 PM","GITC 2315A","Closed","20","20","Belal, Ahmed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94579",""
"202490","MET301","ANAL & DGN MACHN ELEMS I","101","94579","M","8:05 PM - 10:00 PM","ME 214","Closed","20","20","Belal, Ahmed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94579",""
"202490","MET302","ANAL & DGN MACHN ELEM II","101","94580","W","6:00 PM - 8:50 PM","CKB 217","Closed","24","24","Belal, Ahmed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94580",""
"202490","MET303","APPLIED THERMODYNAMICS","101","94581","R","6:00 PM - 8:50 PM","GITC 2400","Open","30","13","Rohafza, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94581",""
"202490","MET303","APPLIED THERMODYNAMICS","451","94582","","TBA"," ","Open","30","25","Tafuni, Angelantonio","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94582","Online Course"
"202490","MET304","APPLIED FLUID MECHANICS","101","94583","R","6:00 PM - 7:55 PM","GITC 1400","Open","20","19","Rahman, Sahidur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94583",""
"202490","MET304","APPLIED FLUID MECHANICS","101","94583","R","8:05 PM - 10:00 PM","ME 110","Open","20","19","Rahman, Sahidur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94583",""
"202490","MET304","APPLIED FLUID MECHANICS","103","94584","S","12:00 PM - 2:05 PM","ME 110","Closed","20","20","Tafuni, Angelantonio","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94584","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202490","MET304","APPLIED FLUID MECHANICS","103","94584","","TBA"," ","Closed","20","20","Tafuni, Angelantonio","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94584","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202490","MET307","PLASTICS TECHNOLOGY","101","94585","T","6:00 PM - 10:05 PM","GITC 2302","Open","25","11","La Rosa, Anthony","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94585",""
"202490","MET314","DYNAMICS OF MACHINERY","001","94586","F","8:30 AM - 10:35 AM","ME 214","Open","24","11","Rahman, Sahidur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94586",""
"202490","MET314","DYNAMICS OF MACHINERY","001","94586","T","8:30 AM - 10:35 AM","CKB 212","Open","24","11","Rahman, Sahidur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94586",""
"202490","MET314","DYNAMICS OF MACHINERY","101","94587","W","6:00 PM - 7:55 PM","GITC 1400","Closed","20","20","Botros, Mina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94587",""
"202490","MET314","DYNAMICS OF MACHINERY","101","94587","W","8:05 PM - 10:00 PM","ME 214","Closed","20","20","Botros, Mina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94587",""
"202490","MET395","COOP EXPERIENCE I","349","94588","","TBA"," ","Open","19","0","Lieber, Samuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94588","See department for permission to enroll."
"202490","MET415","AUTOMATIC CONTROL SYSTEMS","101","94589","T","6:00 PM - 10:05 PM","GITC 2310","Closed","20","20","Awad, Majd","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94589",""
"202490","MET415","AUTOMATIC CONTROL SYSTEMS","103","94590","W","6:00 PM - 10:05 PM","GITC 2310","Open","20","13","Awad, Majd","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94590",""
"202490","MET450","MECH DESIGN CAPSTONE PROJECT","101","94591","R","6:00 PM - 10:05 PM","CKB 303","Open","20","13","Beshay, Joseph","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94591",""
"202490","MET450","MECH DESIGN CAPSTONE PROJECT","103","94592","M","6:00 PM - 10:05 PM","CKB 214","Open","20","10","Beshay, Joseph","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94592",""
"202490","MET491","SPECIAL PROJECTS","349","95801","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95801","See department for permission to enroll."
"202490","MET492","SPECIAL PROJECTS","349","95802","","TBA"," ","Open","19","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95802","See department for permission to enroll."
"202490","MET493","SPECIAL PROJECTS","349","95803","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95803","See department for permission to enroll."
