"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","ME215","ENGR MATERLS & PROCESSES","001","94312","F","1:45 PM - 3:50 PM","ME 232","Closed","24","24","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94312","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES","001","94312","M","8:30 AM - 10:35 AM","FMH 313","Closed","24","24","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94312","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES","003","94313","M","11:30 AM - 1:35 PM","FMH 305","Closed","18","18","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94313","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES","003","94313","T","1:00 PM - 3:05 PM","ME 232","Closed","18","18","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94313","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES","005","94314","R","10:45 AM - 12:50 PM","ME 232","Closed","24","23","Dong, Lin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94314","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES","005","94314","R","8:30 AM - 10:35 AM","FMH 310","Closed","24","23","Dong, Lin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94314","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES","007","94315","T","10:00 AM - 12:05 PM","FMH 310","Closed","18","18","Chester, Shawn","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94315","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES","007","94315","W","10:00 AM - 12:05 PM","ME 232","Closed","18","18","Chester, Shawn","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94315","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES","101","94316","T","6:00 PM - 7:55 PM","FMH 309","Closed","24","24","Suwattananont, Naruemon","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94316","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES","101","94316","T","8:05 PM - 10:00 PM","ME 232","Closed","24","24","Suwattananont, Naruemon","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94316","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES","103","94317","W","6:00 PM - 7:55 PM","FMH 309","Closed","24","24","Suwattananont, Naruemon","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94317","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES","103","94317","W","8:05 PM - 10:00 PM","ME 232","Closed","24","24","Suwattananont, Naruemon","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94317","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES - HONORS","HM1","94318","M","11:30 AM - 1:35 PM","FMH 305","Closed","6","6","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94318","Honors Course<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES - HONORS","HM1","94318","T","1:00 PM - 3:05 PM","ME 232","Closed","6","6","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94318","Honors Course<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202490","ME215","ENGR MATERLS & PROCESSES - HONORS","HM3","94319","T","10:00 AM - 12:05 PM","FMH 310","Open","6","3","Chester, Shawn","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94319","Honors Course<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
