"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","001","94596","F","8:30 AM - 10:35 AM","KUPF 203","Closed","35","35","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94596","Students must bring their own device for this section."
"202490","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","001","94596","MR","11:30 AM - 12:50 PM","CKB 204","Closed","35","35","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94596","Students must bring their own device for this section."
"202490","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","003","94597","TF","4:00 PM - 5:20 PM","CKB 124","Open","35","24","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94597","Students must bring their own device for this section."
"202490","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","003","94597","W","11:30 AM - 1:35 PM","KUPF 203","Open","35","24","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94597","Students must bring their own device for this section."
"202490","MGMT190","INTRODUCTION TO BUSINESS","001","94598","MW","8:30 AM - 9:50 AM","KUPF 107","Closed","2","3","Salmeron, Maria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94598",""
"202490","MGMT190","INTRODUCTION TO BUSINESS","003","94599","MW","10:00 AM - 11:20 AM","KUPF 103","Closed","2","2","Salmeron, Maria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94599",""
"202490","MGMT190","INTRODUCTION TO BUSINESS","005","94600","MW","10:00 AM - 11:20 AM","KUPF 104","Closed","2","2","Berliner, Michelle","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94600",""
"202490","MGMT190","INTRODUCTION TO BUSINESS","101","94601","T","6:00 PM - 8:50 PM","KUPF 207","Open","37","22","Salmeron, Maria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94601",""
"202490","MGMT216","BUSINESS DATA ANALYTICS","001","94602","TR","8:30 AM - 9:50 AM","TIER LECT 2","Closed","43","42","Gupta, Shubham","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94602","Students must bring their own device for this section."
"202490","MGMT216","BUSINESS DATA ANALYTICS","003","94603","F","2:30 PM - 3:50 PM","FMH 308","Closed","43","43","Gupta, Shubham","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94603","Students must bring their own device for this section."
"202490","MGMT216","BUSINESS DATA ANALYTICS","003","94603","T","2:30 PM - 3:50 PM","FMH 408","Closed","43","43","Gupta, Shubham","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94603","Students must bring their own device for this section."
"202490","MGMT216","BUSINESS DATA ANALYTICS","101","94604","R","7:30 PM - 8:50 PM","KUPF 105","Open","43","10","Zhou, Fuqin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94604","Students must bring their own device for this section."
"202490","MGMT216","BUSINESS DATA ANALYTICS","101","94604","T","7:30 PM - 8:50 PM","KUPF 105","Open","43","10","Zhou, Fuqin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94604","Students must bring their own device for this section."
"202490","MGMT216","BUSINESS DATA ANALYTICS","451","95778","","TBA"," ","Open","30","1","Chang, Ai Chih","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95778","Restricted to Online Accelerated Degree Completion Only<br />Class meets last half of the semester"
"202490","MGMT290","BUSINESS LAW I","001","94605","MW","1:00 PM - 2:20 PM","KUPF 208","Open","35","15","LaFuente, Miriam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94605",""
"202490","MGMT290","BUSINESS LAW I","003","94606","MR","11:30 AM - 12:50 PM","KUPF 207","Open","35","22","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94606",""
"202490","MGMT290","BUSINESS LAW I","451","94607","","TBA"," ","Closed","30","30","Garcia, Andrew","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94607","Online Course"
"202490","MGMT290","BUSINESS LAW I","453","94608","","TBA"," ","Closed","30","30","Garcia, Andrew","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94608","Online Course"
"202490","MGMT290","BUSINESS LAW I","455","94609","","TBA"," ","Open","30","13","Fox, Wayne","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94609","Online Course"
"202490","MGMT310","CO-OP WORK EXPERIENCE I","887","94610","","TBA"," ","Open","19","0","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94610","See department for permission to enroll."
"202490","MGMT316","BUSINESS RESEARCH METHODS","001","94611","TR","2:30 PM - 3:50 PM","CAB 3052","Closed","43","43","Shi, Junmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94611","Students must bring their own device for this section."
"202490","MGMT316","BUSINESS RESEARCH METHODS","101","94612","TR","6:00 PM - 7:20 PM","CKB 124","Open","43","18","Shi, Junmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94612","Students must bring their own device for this section."
