"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","MIS245","INTRO TO MNGMNT INFO SYST","001","94651","TR","11:30 AM - 12:50 PM","KUPF 209","Closed","43","43","Kudyba, Stephan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94651",""
"202490","MIS245","INTRO TO MNGMNT INFO SYST","003","94652","TR","4:00 PM - 5:20 PM","KUPF 209","Open","43","30","Kudyba, Stephan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94652",""
"202490","MIS245","INTRO TO MNGMNT INFO SYST","101","94653","W","6:00 PM - 8:50 PM","KUPF 205","Open","43","10","Goswami, Bhaskar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94653",""
"202490","MIS245","INTRO TO MNGMNT INFO SYST","451","94654","","TBA"," ","Closed","30","30","Lovitch, Ira","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94654","Online Course"
"202490","MIS245","INTRO TO MNGMNT INFO SYST","453","95768","","TBA"," ","Open","30","1","Lovitch, Ira","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95768","Restricted to Online Accelerated Degree Completion Only<br />Class meets first half of the semester"
"202490","MIS245","INTRO TO MNGMNT INFO SYST","455","94655","","TBA"," ","Closed","30","30","Lovitch, Ira","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94655","Online Course"
"202490","MIS245","INTRO TO MNGMNT INFO SYST","457","94656","","TBA"," ","Closed","30","30","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94656","Online Course"
"202490","MIS363","PROJCT MNGMNT FOR MANAGERS","001","94657","MW","11:30 AM - 12:50 PM","KUPF 106","Open","43","23","Chen, Yi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94657","Students must bring their own device for this section.<br />Students need a computer with Windows operating system"
"202490","MIS363","PROJCT MNGMNT FOR MANAGERS","101","94658","W","6:00 PM - 8:50 PM","FMH 308","Open","43","29","Moodey, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94658","Students must bring their own device for this section.<br />Students need a computer with Windows operating system."
"202490","MIS385","DATABASE SYSTEMS FOR MANAGERS","001","94659","TR","4:00 PM - 5:20 PM","CKB 303","Open","43","42","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94659","Students need a computer with windows operating system<br />Students must bring their own device for this section."
"202490","MIS385","DATABASE SYSTEMS FOR MANAGERS","451","94660","","TBA"," ","Open","30","28","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94660","Online Course<br />Students need a computer with windows operating system"
"202490","MIS385","DATABASE SYSTEMS FOR MANAGERS","453","95779","","TBA"," ","Open","30","1","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95779","Restricted to Online Accelerated Degree Completion Only<br />Class meets last half of the semester<br />Students need a computer with Windows operating system."
"202490","MIS385","DATABASE SYSTEMS FOR MANAGERS","455","96447","","TBA"," ","Open","30","13","Rajamani, Sathish","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96447","Online Course<br />Students need a computer with Windows operating system."
"202490","MIS423","SPORTS MANAGEMENT & ANALYTICS","001","96082","TR","8:30 AM - 9:50 AM","KUPF 108","Open","43","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96082",""
"202490","MIS445","DEC SUPPRT TOOL & TECH MNGRS","101","94661","MW","7:30 PM - 8:50 PM","KUPF 203","Open","43","12","Park, Jaehyuck","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94661",""
"202490","MIS445","DEC SUPPRT TOOL & TECH MNGRS","451","94662","","TBA"," ","Closed","30","30","Park, Jaehyuck","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94662","Online Course"
"202490","MIS445","DEC SUPPRT TOOL & TECH MNGRS","453","95780","","TBA"," ","Open","30","5","Balakesari, Ganes Kesari","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95780","Restricted for Online accelerated degree completion<br />Class meets last half of the semester"
"202490","MIS645","INFO TECH & COMP ADVANTAGE","001","94663","M","2:30 PM - 5:20 PM","CAB 3052","Open","43","11","Fjermestad, Jerry","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94663","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting: 9/16"
"202490","MIS645","INFO TECH & COMP ADVANTAGE","101","94664","T","6:00 PM - 8:50 PM","CAB 3052","Open","43","8","Fjermestad, Jerry","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94664","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting: 9/3/24"
"202490","MIS645","INFO TECH & COMP ADVANTAGE","851","94665","","TBA"," ","Open","30","21","Fjermestad, Jerry","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94665","Restricted to Virtual Campus Students Only<br />Online Course"
"202490","MIS645","INFO TECH & COMP ADVANTAGE","853","94666","","TBA"," ","Open","30","22","Fjermestad, Jerry","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94666","Restricted to Newark Campus Students Only<br />Online Course"
"202490","MIS645","INFO TECH & COMP ADVANTAGE","855","94667","","TBA"," ","Closed","0","0","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94667","Cancelled 04/05/24"
"202490","MIS648","DEC SUPPORT SYS FOR MNGRS","851","94668","","TBA"," ","Open","30","14","Sylla, Cheickna","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94668","Online Course"
