"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","MNET215","MATS. AND PROCESSES FOR TECH.","101","94674","R","6:00 PM - 10:05 PM","GITC 2311","Open","20","15","Orlos, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94674",""
"202490","MNET300","CONCEPTS IN MACHINING","001","96220","MW","8:30 AM - 10:35 AM","GITC 1404","Open","15","14","Lieber, Samuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96220","This course meets in the Makerspace."
"202490","MNET303","ADV TECH IN CAD/CAM","101","94675","M","6:00 PM - 10:05 PM","GITC 2311","Closed","20","20","Dyer, ShaQueel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94675",""
"202490","MNET315","INDUSTRIAL STATISTICS","001","94676","R","8:30 AM - 10:35 AM","KUPF 210","Open","30","23","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94676",""
"202490","MNET315","INDUSTRIAL STATISTICS","001","94676","T","8:30 AM - 10:35 AM","KUPF 211","Open","30","23","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94676",""
"202490","MNET315","INDUSTRIAL STATISTICS","101","94677","T","6:00 PM - 10:05 PM","KUPF 208","Closed","30","29","May, Edwin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94677",""
"202490","MNET414","INDUSTRIAL COST ANALYSIS","001","94678","TR","2:30 PM - 3:50 PM","CKB 222","Open","25","23","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94678",""
"202490","MNET414","INDUSTRIAL COST ANALYSIS","101","94679","W","6:00 PM - 8:50 PM","CKB 220","Open","25","22","Zeiner, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94679",""
"202490","MNET414","INDUSTRIAL COST ANALYSIS","103","94680","R","6:00 PM - 8:50 PM","CKB 214","Open","25","20","Zeiner, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94680",""
"202490","MNET414","INDUSTRIAL COST ANALYSIS","105","94681","F","6:00 PM - 8:50 PM","CKB 219","Open","25","5","Dyer, ShaQueel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94681",""
"202490","MNET416","PRODUCTION SCHEDULING","101","94682","W","6:00 PM - 8:50 PM","CKB 207","Open","30","10","Orlos, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94682",""
"202490","MNET420","QUALITY SYSTEMS","101","94683","M","6:00 PM - 10:05 PM","CKB 212","Open","30","10","May, Edwin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94683",""
