"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","MRKT330","PRINCIPLES OF MARKETING","001","94690","TR","4:00 PM - 5:20 PM","KUPF 211","Open","33","9","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94690",""
"202490","MRKT330","PRINCIPLES OF MARKETING","101","94691","M","6:00 PM - 8:50 PM","FMH 408","Open","43","39","Aziz, Summaya","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94691",""
"202490","MRKT330","PRINCIPLES OF MARKETING","451","94692","","TBA"," ","Closed","30","30","Mehta, Rajiv","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94692","Online Course"
"202490","MRKT330","PRINCIPLES OF MARKETING","453","94693","","TBA"," ","Open","30","29","Mehta, Rajiv","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94693","Online Course"
"202490","MRKT330","PRINCIPLES OF MARKETING","455","94694","","TBA"," ","Closed","30","30","Olotewo, Akpesiri","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94694","Online Course"
"202490","MRKT330","PRINCIPLES OF MARKETING","457","94695","","TBA"," ","Closed","30","30","Olotewo, Akpesiri","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94695","Online Course"
"202490","MRKT330","PRINCIPLES OF MARKETING - HONORS","HM1","94696","TR","4:00 PM - 5:20 PM","KUPF 211","Open","10","3","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94696","Honors Course"
"202490","MRKT331","CUSTOMER INSIGHTS","451","94697","","TBA"," ","Open","30","23","Guilbault, Melodi","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94697","Online Course"
"202490","MRKT360","DIGITAL MARKETING","001","94698","MW","8:30 AM - 9:50 AM","CKB 204","Open","43","25","Fresneda Fernandez, Jorge Eduardo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94698",""
"202490","MRKT378","MARKETING ANALYTICS","001","94699","MW","10:00 AM - 11:20 AM","KUPF 203","Open","43","17","Fresneda Fernandez, Jorge Eduardo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94699",""
"202490","MRKT620","GLOBAL MARKETING MANAGEMENT","101","94700","M","6:00 PM - 8:50 PM","KUPF 206","Open","43","18","Mehta, Rajiv","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94700","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 9/16"
"202490","MRKT620","GLOBAL MARKETING MANAGEMENT","851","94701","","TBA"," ","Open","30","13","Elowitz, Ronald","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94701","Restricted to Virtual Campus Students Only<br />Online Course"
"202490","MRKT632","STRATEGIC MRKT MANAGEMENT","101","94702","T","6:00 PM - 8:50 PM","KUPF 206","Open","43","1","Shrivastava, Sunaina","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94702","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings alternate weeks starting September 3"
"202490","MRKT632","STRATEGIC MRKT MANAGEMENT","851","94703","","TBA"," ","Open","30","8","Shrivastava, Sunaina","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94703",""
"202490","MRKT632","STRATEGIC MRKT MANAGEMENT","853","94704","","TBA"," ","Open","30","18","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94704",""
"202490","MRKT632","STRATEGIC MRKT MANAGEMENT","855","94705","","TBA"," ","Open","19","11","Elowitz, Ronald","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94705","Online Course<br />Department permission required"
"202490","MRKT636","DES/DEV HIGH TECH PROD","851","94706","","TBA"," ","Open","30","18","Elowitz, Ronald","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94706","Online Course"
