"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","MTEN201","INTRO PRINC OF MATERIAL ENGR","001","95900","MF","10:00 AM - 11:20 AM","FMH 409","Closed","20","20","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95900",""
"202490","MTEN201","INTRO PRINC OF MATERIAL ENGR","001","95900","R","2:30 PM - 3:30 PM","TIER 007B","Closed","20","20","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95900",""
"202490","MTEN201","INTRO PRINC OF MATERIAL ENGR","003","95917","MF","10:00 AM - 11:20 AM","FMH 108","Open","35","15","Gor, Gennady","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95917",""
"202490","MTEN201","INTRO PRINC OF MATERIAL ENGR","003","95917","R","4:00 PM - 5:00 PM","TIER 007B","Open","35","15","Gor, Gennady","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95917",""
"202490","MTEN201","INTRO PRINC OF MATERIAL ENGR- HONORS","HM1","95901","MF","10:00 AM - 11:20 AM","FMH 409","Open","15","7","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95901","Honors Course"
"202490","MTEN201","INTRO PRINC OF MATERIAL ENGR- HONORS","HM1","95901","R","2:30 PM - 3:30 PM","TIER 007B","Open","15","7","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95901","Honors Course"
"202490","MTEN301","THERMODYNAMICS OF MATERIALS","001","94707","TR","4:00 PM - 5:20 PM","FMH 407","Open","30","5","Khusid, Boris","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94707",""
"202490","MTEN305","MATERIALS CHARACT METHODS","001","94708","F","9:15 AM - 11:20 AM","TIER 007A","Open","30","2","Dreyzin, Edward","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94708",""
"202490","MTEN305","MATERIALS CHARACT METHODS","001","94708","TR","1:00 PM - 2:20 PM","TIER 114","Open","30","2","Dreyzin, Edward","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94708",""
"202490","MTEN309","EOMT PROP. MATER.","001","95809","M","1:00 PM - 3:05 PM","TIER 007A","Open","30","2","Molodetsky, Irina","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95809",""
