"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","MTSE602","THERMODYNAMICS OF MATERL","101","94936","W","6:00 PM - 8:50 PM","FMH 314","Open","25","5","Tyson, Trevor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94936",""
"202490","MTSE690","DIRECTED STUDY IN MTSE","792","94937","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94937","See department for permission to enroll."
"202490","MTSE690","DIRECTED STUDY IN MTSE","796","94938","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94938","See department for permission to enroll."
"202490","MTSE700B","MASTER'S PROJECT","792","94939","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94939","See department for permission to enroll."
"202490","MTSE700B","MASTER'S PROJECT","796","94940","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94940","See department for permission to enroll."
"202490","MTSE701B","MASTER'S THESIS","071","94941","","TBA"," ","Open","19","0","Sirkar, Kamalesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94941","See department for permission to enroll."
"202490","MTSE701B","MASTER'S THESIS","072","94942","","TBA"," ","Open","19","0","Jaffe, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94942","See department for permission to enroll."
"202490","MTSE701B","MASTER'S THESIS","093","94943","","TBA"," ","Open","19","0","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94943","See department for permission to enroll."
"202490","MTSE701B","MASTER'S THESIS","304","94944","","TBA"," ","Open","19","0","Arinzeh, Treena","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94944","See department for permission to enroll."
"202490","MTSE701B","MASTER'S THESIS","792","94945","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94945","See department for permission to enroll."
"202490","MTSE701B","MASTER'S THESIS","796","94946","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94946","See department for permission to enroll."
"202490","MTSE701C","MASTER'S THESIS","792","94947","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94947","See department for permission to enroll."
"202490","MTSE701C","MASTER'S THESIS","796","94948","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94948","See department for permission to enroll."
"202490","MTSE724","TRANPORT OF ELECTONS & PHOTONS","101","94949","M","6:00 PM - 8:50 PM","FMH 205","Open","25","4","Jerez, Andres","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94949",""
"202490","MTSE725","INDEPENDENT STUDY I","792","94950","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94950","See department for permission to enroll."
"202490","MTSE725","INDEPENDENT STUDY I","796","94951","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94951","See department for permission to enroll."
"202490","MTSE725","INDEPENDENT STUDY I","804","94952","","TBA"," ","Open","19","0","Federici, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94952","See department for permission to enroll."
"202490","MTSE726","INDEPENDENT STUDY II","792","94953","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94953","See department for permission to enroll."
"202490","MTSE726","INDEPENDENT STUDY II","796","94954","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94954","See department for permission to enroll."
"202490","MTSE726","INDEPENDENT STUDY II","804","94955","","TBA"," ","Open","19","0","Federici, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94955","See department for permission to enroll."
"202490","MTSE790A","DOCTORAL DISSERTATION","071","94956","","TBA"," ","Open","19","0","Sirkar, Kamalesh","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94956","See department for permission to enroll."
