"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","PE115","STRNGTH TRNING & CONDING","001","95769","MW","11:30 AM - 12:50 PM","WEC FITCENTR","Open","15","5","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95769","Class meets first half of the semester."
"202490","PE115","STRNGTH TRNING & CONDING","003","95770","TR","8:30 AM - 9:50 AM","WEC FITCENTR","Open","15","5","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95770","Class meets first half of the semester."
"202490","PE115","STRNGTH TRNING & CONDING","005","95771","TR","11:30 AM - 12:50 PM","WEC FITCENTR","Open","15","9","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95771","Class meets first half of the semester."
"202490","PE115","STRNGTH TRNING & CONDING","007","94990","F","8:30 AM - 9:50 AM","WEC FITCENTR","Open","15","6","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94990",""
"202490","PE115","STRNGTH TRNING & CONDING","009","94991","W","11:30 AM - 12:50 PM","WEC FITCENTR","Open","15","12","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94991",""
"202490","PE115","STRNGTH TRNING & CONDING","011","94992","W","1:00 PM - 2:20 PM","WEC FITCENTR","Open","15","13","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94992",""
"202490","PE117","JOGGING","001","95772","TR","1:00 PM - 2:20 PM","WEC TRACK","Open","15","12","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95772","Class meets first half of the semester."
"202490","PE118","WALKING","001","95781","TR","1:00 PM - 2:20 PM","DHRH FIT","Closed","15","15","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95781","Class meets last half of the semester."
"202490","PE129","INDIVIDUALIZED FITNESS","001","94993","M","4:00 PM - 5:20 PM","WEC FITCENTR","Closed","20","20","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94993",""
"202490","PE129","INDIVIDUALIZED FITNESS","003","95773","MW","10:00 AM - 11:20 AM","WEC FITCENTR","Open","15","4","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95773","Class meets first half of the semester."
"202490","PE129","INDIVIDUALIZED FITNESS","005","95774","TR","10:00 AM - 11:20 AM","WEC FITCENTR","Open","15","8","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95774","Class meets first half of the semester."
"202490","PE129","INDIVIDUALIZED FITNESS","007","95775","TR","1:00 PM - 2:20 PM","WEC FITCENTR","Open","15","6","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95775","Class meets first half of the semester."
"202490","PE129","INDIVIDUALIZED FITNESS","009","95776","TR","2:30 PM - 3:50 PM","WEC FITCENTR","Open","15","2","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95776","Class meets first half of the semester."
"202490","PE129","INDIVIDUALIZED FITNESS","101","94994","M","6:00 PM - 7:20 PM","WEC FITCENTR","Open","15","8","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94994",""
"202490","PE129","INDIVIDUALIZED FITNESS","103","94995","W","6:00 PM - 7:20 PM","WEC FITCENTR","Open","15","7","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94995",""
"202490","PE133","SWIM FOR HEALTH","001","94996","T","10:00 AM - 11:20 AM","WEC POOL","Open","12","3","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94996",""
"202490","PE133","SWIM FOR HEALTH","003","94997","T","11:30 AM - 12:50 PM","WEC POOL","Open","12","6","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94997",""
"202490","PE135","BEGINNING SWIMMING","001","94998","R","10:00 AM - 11:20 AM","WEC POOL","Closed","10","10","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94998",""
"202490","PE136","INTRO TO KARATE","101","94999","T","7:00 PM - 8:20 PM","WEC GRPEXER","Open","15","11","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=94999",""
"202490","PE136","INTRO TO KARATE","103","95000","R","7:00 PM - 8:20 PM","WEC GRPEXER","Open","15","13","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95000",""
"202490","PE139","INDIVIDUALIZED FITNESS II","001","95001","","TBA","WEC FITCENTR","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95001","Department permission required"
