"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","PHEN590","GRADUATE CO-OP WORK EXPER I","084","95020","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95020","See department for permission to enroll."
"202490","PHEN591","GRADUATE CO-OP WORK EXPER II","084","95021","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95021","See department for permission to enroll."
"202490","PHEN592","GRADUATE CO-OP WORK EXPER III","084","95022","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95022","See department for permission to enroll."
"202490","PHEN593","GRADUATE CO-OP WORK EXP IV","084","95023","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95023","See department for permission to enroll."
"202490","PHEN601","PRINC OF PHARMCTCL ENGR","101","95024","T","6:00 PM - 8:50 PM","FMH 412","Open","30","5","Bernhardt, Marc","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95024",""
"202490","PHEN602","PHARMACEUTICAL FACILITY DESIGN","101","95025","F","6:00 PM - 8:50 PM","TIER 105","Open","30","1","Lechich, Robert","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95025",""
"202490","PHEN603","PHARM UNIT OPER:LIQ&DISP SYS","101","95026","M","6:00 PM - 8:50 PM","FMH 309","Open","30","3","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95026",""
"202490","PHEN700B","MASTER'S PROJECT","090","95027","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95027","See department for permission to enroll."
"202490","PHEN701B","MASTER'S THESIS","070","95028","","TBA"," ","Open","19","0","Collins, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95028","See department for permission to enroll."
"202490","PHEN701B","MASTER'S THESIS","071","95029","","TBA"," ","Open","19","0","Sirkar, Kamalesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95029","See department for permission to enroll."
"202490","PHEN701B","MASTER'S THESIS","080","95030","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95030","See department for permission to enroll."
"202490","PHEN701B","MASTER'S THESIS","088","95031","","TBA"," ","Open","19","0","Basuray, Sagnik","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95031","See department for permission to enroll."
"202490","PHEN701B","MASTER'S THESIS","090","95032","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95032","See department for permission to enroll."
"202490","PHEN701B","MASTER'S THESIS","093","95033","","TBA"," ","Open","19","0","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95033","See department for permission to enroll."
"202490","PHEN701B","MASTER'S THESIS","111","95034","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95034","See department for permission to enroll."
"202490","PHEN701B","MASTER'S THESIS","116","95035","","TBA"," ","Open","19","0","Gogos, Costas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95035","See department for permission to enroll."
