"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","PHIL334","ENGINEERING ETHICS","001","95052","MW","11:30 AM - 12:50 PM","CKB 120","Open","38","30","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95052",""
"202490","PHIL334","ENGINEERING ETHICS","003","95053","MW","10:00 AM - 11:20 AM","FMH 207","Open","38","25","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95053",""
"202490","PHIL334","ENGINEERING ETHICS","005","95054","TR","11:30 AM - 12:50 PM","FMH 408","Closed","38","38","Holbrook, James","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95054",""
"202490","PHIL334","ENGINEERING ETHICS","007","95055","TR","4:00 PM - 5:20 PM","FMH 110","Open","38","37","Edel, Gareth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95055",""
"202490","PHIL334","ENGINEERING ETHICS","009","95056","MW","8:30 AM - 9:50 AM","FMH 308","Open","38","15","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95056",""
"202490","PHIL334","ENGINEERING ETHICS","011","95057","MW","1:00 PM - 2:20 PM","FMH 408","Open","38","9","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95057",""
"202490","PHIL334","ENGINEERING ETHICS","013","95058","F","8:30 AM - 9:50 AM","KUPF 205","Open","38","4","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95058",""
"202490","PHIL334","ENGINEERING ETHICS","013","95058","T","8:30 AM - 9:50 AM","FMH 308","Open","38","4","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95058",""
"202490","PHIL334","ENGINEERING ETHICS","015","95059","TF","1:00 PM - 2:20 PM","FMH 408","Open","38","11","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95059",""
"202490","PHIL334","ENGINEERING ETHICS","101","95060","T","6:00 PM - 8:50 PM","FMH 305","Open","38","14","Heap, Peter","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95060",""
"202490","PHIL334","ENGINEERING ETHICS","451","95061","","TBA"," ","Closed","30","30","Estrada, Daniel","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95061","Online Course"
"202490","PHIL334","ENGINEERING ETHICS","453","95062","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95062","Online Course"
"202490","PHIL334","ENGINEERING ETHICS","455","95063","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95063","Online Course"
"202490","PHIL334","ENGINEERING ETHICS","457","95064","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95064","Online Course"
"202490","PHIL334","ENGINEERING ETHICS- HONORS","H01","95065","TR","10:00 AM - 11:20 AM","FMH 307","Open","25","11","Holbrook, James","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95065","Honors Course"
"202490","PHIL337","WORLD RELIGIONS","001","95066","MW","8:30 AM - 9:50 AM","CULM 111","Closed","26","26","Brooks, Charles","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95066",""
"202490","PHIL351","BIOMEDICAL ETHICS","451","95067","","TBA"," ","Closed","30","30","Deek, Andrew","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95067","Online Course"
"202490","PHIL351","BIOMEDICAL ETHICS","453","95068","","TBA"," ","Closed","30","30","Deek, Andrew","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95068","Online Course"
