"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","PHYS102","GENERAL PHYSICS I","001","95069","F","8:30 AM - 9:50 AM","KUPF 105","Closed","18","18","Kane, Steven","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95069","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","PHYS102","GENERAL PHYSICS I","001","95069","T","1:00 PM - 2:20 PM","KUPF 210","Closed","18","18","Kane, Steven","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95069","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","PHYS102","GENERAL PHYSICS I","003","95070","R","8:30 AM - 9:50 AM","KUPF 103","Closed","18","18","Kane, Steven","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95070","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","PHYS102","GENERAL PHYSICS I","003","95070","T","1:00 PM - 2:20 PM","KUPF 210","Closed","18","18","Kane, Steven","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95070","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","PHYS102","GENERAL PHYSICS I","005","95071","F","10:00 AM - 11:20 AM","KUPF 210","Closed","18","18","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95071","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","PHYS102","GENERAL PHYSICS I","005","95071","M","8:30 AM - 9:50 AM","KUPF 103","Closed","18","18","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95071","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","PHYS102","GENERAL PHYSICS I","007","95072","F","10:00 AM - 11:20 AM","KUPF 210","Closed","18","18","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95072","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","PHYS102","GENERAL PHYSICS I","007","95072","T","4:00 PM - 5:20 PM","KUPF 204","Closed","18","18","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95072","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","PHYS102","GENERAL PHYSICS I","009","95073","TR","4:00 PM - 5:20 PM","KUPF 107","Open","18","17","Vataj, Esmeralda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95073","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","PHYS102","GENERAL PHYSICS I","101","95074","M","6:00 PM - 8:50 PM","TIER 113","Open","37","18","Azizighannad, Samar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95074","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","PHYS102","GENERAL PHYSICS I","103","95075","W","6:00 PM - 8:50 PM","FMH 213","Open","41","36","Stefan, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95075","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","PHYS102","GENERAL PHYSICS I","105","95076","T","6:00 PM - 8:50 PM","WEST LECT 2","Open","41","14","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95076","Students must also register for LAB.<br />Withdrawal from LECTURE requires withdrawal from LAB.<br />This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202490","PHYS102A","GENERAL PHYSICS I LAB","001","95077","R","12:15 PM - 2:20 PM","TIER 409","Open","10","9","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95077","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LECTURE."
"202490","PHYS102A","GENERAL PHYSICS I LAB","003","95078","R","2:30 PM - 4:35 PM","TIER 409","Closed","10","9","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95078","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LECTURE."
"202490","PHYS102A","GENERAL PHYSICS I LAB","005","95079","T","8:30 AM - 10:35 AM","TIER 409","Closed","10","10","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95079","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LECTURE."
"202490","PHYS102A","GENERAL PHYSICS I LAB","007","95080","F","1:00 PM - 3:05 PM","TIER 409","Closed","10","10","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95080","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LECTURE."
"202490","PHYS102A","GENERAL PHYSICS I LAB","009","95081","M","8:30 AM - 10:35 AM","TIER 409","Closed","10","10","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95081","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LECTURE."
