"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","PSY201","ORIENTATION PSYCH AS BEHAV SCI","001","95407","MW","10:00 AM - 11:20 AM","CKB 126","Closed","10","10","Hyland Bruno, Julia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95407",""
"202490","PSY210","INTRODUCTION TO PSYCHOLOGY","001","95408","TR","2:30 PM - 3:50 PM","CKB 317","Closed","35","35","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95408",""
"202490","PSY210","INTRODUCTION TO PSYCHOLOGY","003","95409","WF","1:00 PM - 2:20 PM","CKB 330","Open","35","32","Meraj, Bora","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95409",""
"202490","PSY210","INTRODUCTION TO PSYCHOLOGY","005","95410","F","8:30 AM - 11:20 AM","ME 224","Closed","35","35","Venchkoski, Jessyka","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95410",""
"202490","PSY210","INTRODUCTION TO PSYCHOLOGY","007","95411","TR","11:30 AM - 12:50 PM","CKB 223","Closed","35","35","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95411",""
"202490","PSY210","INTRODUCTION TO PSYCHOLOGY","009","95412","TR","4:00 PM - 5:20 PM","CKB 330","Open","35","34","Wolf, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95412",""
"202490","PSY210","INTRODUCTION TO PSYCHOLOGY","011","95413","TR","4:00 PM - 5:20 PM","CKB 106","Open","35","16","Dickerman, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95413",""
"202490","PSY210","INTRODUCTION TO PSYCHOLOGY","013","95414","MR","10:00 AM - 11:20 AM","CKB 106","Open","35","32","Dickerman, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95414",""
"202490","PSY210","INTRODUCTION TO PSYCHOLOGY","015","95415","MR","2:30 PM - 3:50 PM","CKB 120","Closed","35","35","Dickerman, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95415",""
"202490","PSY210","INTRODUCTION TO PSYCHOLOGY","017","95416","TR","11:30 AM - 12:50 PM","CKB 120","Open","35","34","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95416",""
