"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","SDET310","COMPUTER DESIGN FUNDAMENTALS","101","96222","M","6:00 PM - 10:05 PM","CKB 207","Open","25","5","Perumalsamy, Anuradha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96222",""
"202490","SDET315","COMPUTER ARCHITECTURE","101","96226","T","6:00 PM - 10:05 PM","MALL PC36","Open","25","19","Patel, Amit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96226",""
"202490","SDET325","MEDICAL INFORMATICS TECHNOLOGY","101","96227","S","9:00 AM - 11:50 AM","GITC 2305","Open","25","1","Lubliner, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96227",""
"202490","SDET330","SOFTWARE WEB APPLICATIONS I","101","96190","W","6:00 PM - 10:05 PM","CKB G-12","Open","25","23","Aslam, Ersal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96190",""
"202490","SDET335","NETWORK APPLICATIONS I","101","96289","W","6:00 PM - 10:05 PM","GITC 2315C","Open","30","10","Patel, Narendra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96289",""
"202490","SDET341","VISUAL BASIC .NET","101","96228","R","6:00 PM - 10:05 PM","MALL PC40","Open","30","23","Tereshkovich, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96228",""
"202490","SDET373","WEB APP DEVELOPMENT FOR MOBILE","101","96229","F","6:00 PM - 10:05 PM","GITC 2302","Open","25","0","Nasello, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96229",""
"202490","SDET373","WEB APP DEVELOPMENT FOR MOBILE","451","96290","","TBA"," ","Open","25","17","Nasello, Daniel","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96290","Online Course"
"202490","SDET401","SENIOR PROJECT","001","96291","M","1:00 PM - 3:05 PM","FMH 309","Open","20","8","Bedi, Vivek","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96291","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202490","SDET425","MEDICAL INFORMATICS TECH II","101","96326","R","6:00 PM - 10:05 PM","GITC 2315C","Open","25","2","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96326",""
"202490","SDET430","SOFTWARE WEB APPLICATIONS II","101","96325","T","6:00 PM - 10:05 PM","GITC 2305","Open","25","10","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96325",""
"202490","SDET435","NETWORK APPLICATIONS II","101","96329","M","6:00 PM - 10:05 PM","FENS 160","Open","25","9","Patel, Tushar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96329",""
