"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","SET200","INTRODUCTION TO GEOMATICS","101","96098","M","6:00 PM - 7:55 PM","CKB 126","Open","25","13","Potts, Laramie","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96098",""
"202490","SET200A","INTRODUCTION TO GEOMATICS LAB","101","95439","S","9:00 AM - 2:50 PM","MALL PC39","Open","25","13","Todosov, Angel","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95439","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 9/07/24<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202490","SET203","INTRO TO REMOTE SENSING SCI &","451","95440","","TBA"," ","Open","30","1","Rybowski, Ronen","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95440","Online Course"
"202490","SET220","RASTER-BASED GIS","101","96332","R","6:00 PM - 8:50 PM","CKB 310","Open","25","0","Potts, Laramie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96332",""
"202490","SET301","ROUTE SURVEYING","101","96327","S","9:00 AM - 12:50 PM","MALL PC40","Open","25","4","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96327","Lab portion meets every other Saturday starting: 9/07/24"
"202490","SET301","ROUTE SURVEYING","101","96327","T","6:00 PM - 8:05 PM","CKB 222","Open","25","4","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=96327","Lab portion meets every other Saturday starting: 9/07/24"
"202490","SET302","GEODETIC CONTROL SURVEYING","101","95442","M","6:00 PM - 8:50 PM","CKB 320","Open","25","1","Todosov, Angel","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95442","Lab portion meets every other Saturday starting: 9/14/24"
"202490","SET302","GEODETIC CONTROL SURVEYING","101","95442","S","9:00 AM - 2:50 PM","GITC 2315C","Open","25","1","Todosov, Angel","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95442","Lab portion meets every other Saturday starting: 9/14/24"
"202490","SET303","PHOTOGRAM & AERIAL PHOTO","101","95443","W","6:00 PM - 7:55 PM","MALL PC39","Open","25","7","Jin, Huiran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95443",""
"202490","SET303","PHOTOGRAM & AERIAL PHOTO","101","95443","W","8:05 PM - 10:05 PM","MALL PC39","Open","25","7","Jin, Huiran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95443",""
"202490","SET307","BOUND & ADJACENT PROPERT","102","95444","F","6:00 PM - 8:50 PM","CKB 126","Open","25","10","Potts, Laramie","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95444",""
"202490","SET423","REMOTE SENSING OF THE ENVIRONM","101","95445","T","6:00 PM - 8:50 PM","CKB 320","Open","27","1","Jin, Huiran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95445",""
"202490","SET491","SPECIAL PROJECTS IN SURVEYING","359","95446","","TBA"," ","Open","19","0","Potts, Laramie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95446","See department for permission to enroll."
"202490","SET492","SPECIAL PROJECTS IN SURVEYING","359","95447","","TBA"," ","Open","19","0","Potts, Laramie","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95447","See department for permission to enroll."
"202490","SET493","SPECIAL PROJECTS IN SURVEYING","359","95448","","TBA"," ","Open","19","0","Potts, Laramie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95448","See department for permission to enroll."
