"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","STS201","UND TECH SOC: INTRO STS","001","95449","TF","1:00 PM - 2:20 PM","FMH 213","Closed","8","8","Bozicevic, Miran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95449",""
"202490","STS201","UND TECH SOC: INTRO STS","003","95450","TR","8:30 AM - 9:50 AM","KUPF 104","Closed","8","8","Bozicevic, Miran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95450",""
"202490","STS201","UND TECH SOC: INTRO STS","005","95451","TR","10:00 AM - 11:20 AM","KUPF 108","Closed","8","8","Bozicevic, Miran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95451",""
"202490","STS201","UND TECH SOC: INTRO STS","007","95452","MW","8:30 AM - 9:50 AM","KUPF 108","Open","8","7","Levine, Derek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95452",""
"202490","STS201","UND TECH SOC: INTRO STS","009","95453","TR","8:30 AM - 9:50 AM","KUPF 105","Closed","8","8","Stanik, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95453",""
"202490","STS201","UND TECH SOC: INTRO STS","011","95454","TR","11:30 AM - 12:50 PM","WEST LECT 2","Closed","8","8","Stanik, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95454",""
"202490","STS201","UND TECH SOC: INTRO STS","013","95455","MW","10:00 AM - 11:20 AM","KUPF 207","Closed","8","8","Levine, Derek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95455",""
"202490","STS201","UND TECH SOC: INTRO STS","015","95456","WF","1:00 PM - 2:20 PM","KUPF 104","Closed","8","8","Leli, Tyler","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95456",""
"202490","STS201","UND TECH SOC: INTRO STS","017","95457","WF","8:30 AM - 9:50 AM","KUPF 104","Open","8","7","Pullum, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95457",""
"202490","STS205","INTRO TO RESEARCH METHODS","001","95458","MW","8:30 AM - 9:50 AM","CKB 314","Open","25","23","Collins, Regina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95458",""
