"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","THTR101","LIVING THEATRE","001","95488","TR","2:30 PM - 3:50 PM","KUPF 110","Open","20","7","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95488",""
"202490","THTR102","ACTING FUNDAMENTALS","001","95489","TR","11:30 AM - 12:50 PM","KUPF 110","Open","20","9","Self, Courtney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95489",""
"202490","THTR212","FROM PAGE TO STAGE","001","95490","MR","1:00 PM - 2:20 PM","KUPF 110","Open","20","2","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95490",""
"202490","THTR213","DIRECTING I","001","95491","MW","10:00 AM - 11:20 AM","KUPF 110","Open","20","18","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95491",""
"202490","THTR216","IMPROVISATIONAL THTR-SHORTFORM","001","95492","TR","10:00 AM - 11:20 AM","KUPF 110","Closed","20","20","Kornfeld, Louis","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95492",""
"202490","THTR222","JAZZ ENSEMBLE","101","95495","T","6:00 PM - 8:50 PM"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95495","Cancelled 04/11/24"
"202490","THTR222","STRING ENSEMBLE","003","95494","R","3:00 PM - 5:50 PM"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95494","Cancelled 04/11/24"
"202490","THTR222","WIND ENSEMBLE","001","95493","W","3:00 PM - 5:50 PM"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95493","Cancelled 04/11/24"
"202490","THTR257","STAGE MANAGEMENT","001","95496","MW","11:30 AM - 12:50 PM","KUPF 110","Open","20","6","Reyes, Rodney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95496",""
"202490","THTR258","STAGECRAFT I","001","95497","F","1:00 PM - 3:50 PM","KUPF 110","Open","30","19","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95497",""
"202490","THTR310","THEATRE HISTORY I","001","95498","TR","10:00 AM - 11:20 AM","FMH 305","Closed","20","19","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95498",""
"202490","THTR365","PRINCIPLES OF PLAYWRITING","001","95499","TR","4:00 PM - 5:20 PM","KUPF 110","Open","20","7","Lobontiu, Diana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95499",""
"202490","THTR396","INTERNSHIP-THEATER","661","95500","","TBA"," ","Open","19","0","Self, Courtney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95500","Permission of instructor required<br />See department for permission to enroll."
"202490","THTR483","INDEPENDENT STUDY IN THEATER I","661","95501","","TBA"," ","Open","19","0","Self, Courtney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95501","Permission of instructor required<br />See department for permission to enroll."
"202490","THTR484","INDEPENDENT STUDY THEATER II","661","95502","","TBA"," ","Open","19","0","Self, Courtney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95502","Permission of instructor required<br />See department for permission to enroll."
