"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202490","TRAN603","INTRO URBAN TRANS PLAN","101","95503","R","6:00 PM - 8:50 PM","CKB 220","Open","20","2","Chien, I Jy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95503",""
"202490","TRAN615","TRAFFIC STUDIES AND CAPACITY","851","95504","","TBA"," ","Open","20","2","Daniel, Janice","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95504","Restricted to Newark Campus Students Only<br />Online Course"
"202490","TRAN615","TRAFFIC STUDIES AND CAPACITY","853","95505","","TBA"," ","Open","20","6","Daniel, Janice","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95505","Restricted to Virtual Campus Students Only<br />Online Course"
"202490","TRAN650","URBAN SYSTEMS ENGINEERING","851","95506","","TBA"," ","Open","20","3","Spasovic, Lazar","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95506","Restricted to Virtual Campus Students Only<br />Online Course"
"202490","TRAN650","URBAN SYSTEMS ENGINEERING","853","95507","","TBA"," ","Open","20","2","Spasovic, Lazar","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95507","Restricted to Newark Campus Students Only<br />Online Course"
"202490","TRAN700B","MASTER'S PROJECT","202","95508","","TBA"," ","Open","19","0","Lee, Joyoung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95508","See department for permission to enroll."
"202490","TRAN700B","MASTER'S PROJECT","203","95509","","TBA"," ","Open","19","0","Dimitrijevic, Branislav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95509","See department for permission to enroll."
"202490","TRAN700B","MASTER'S PROJECT","213","95510","","TBA"," ","Open","19","0","Chien, I Jy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95510","See department for permission to enroll."
"202490","TRAN700B","MASTER'S PROJECT","216","95511","","TBA"," ","Open","19","0","Daniel, Janice","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95511","See department for permission to enroll."
"202490","TRAN700B","MASTER'S PROJECT","882","95512","","TBA"," ","Open","19","0","Spasovic, Lazar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Fall&crn-1=95512","See department for permission to enroll."
